reference,name,document_url,documentation_url,notes123,made_date,confirmed_date,entry_date,start_date,end_date
TPO-78E,TPO-78E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-78E.pdf,https://www.stockport.gov.uk/TPO/78E,,15/10/1982,,15/10/1982,15/10/1982,
TPO-68E,TPO-68E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-68E.pdf,https://www.stockport.gov.uk/TPO/68E,,18/06/1982,,18/06/1982,18/06/1982,
TPO-192W,TPO-192W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-192W.pdf,https://www.stockport.gov.uk/TPO/192W,,16/11/1990,,16/11/1990,16/11/1990,
TPO-276E,TPO-276E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-276E.pdf,https://www.stockport.gov.uk/TPO/276E,,,,,,
TPO-402W,TPO-402W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-402W.pdf,https://www.stockport.gov.uk/TPO/402W,,24/07/2009,,24/07/2009,24/07/2009,
TPO-423W,TPO-423W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-423W.pdf,https://www.stockport.gov.uk/TPO/423W,,19/03/2015,,19/03/2015,19/03/2015,
TPO-307W,TPO-307W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-307W.pdf,https://www.stockport.gov.uk/TPO/307W,,17/05/2002,,17/05/2002,17/05/2002,
TPO-479W,TPO-479W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-479W.pdf,https://www.stockport.gov.uk/TPO/479W,,06/10/2025,,06/10/2025,06/10/2025,
TPO-60E,TPO-60E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-60E.pdf,https://www.stockport.gov.uk/TPO/60E,,01/12/1980,,01/12/1980,01/12/1980,
TPO-30E,TPO-30E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-30E.pdf,https://www.stockport.gov.uk/TPO/30E,,07/11/1975,,07/11/1975,07/11/1975,
TPO-33E,TPO-33E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-33E.pdf,https://www.stockport.gov.uk/TPO/33E,,02/07/1976,,02/07/1976,02/07/1976,
TPO-42E,TPO-42E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-42E.pdf,https://www.stockport.gov.uk/TPO/42E,,01/06/1979,,01/06/1979,01/06/1979,
TPO-43E,TPO-43E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-43E.pdf,https://www.stockport.gov.uk/TPO/43E,,01/01/1980,,01/01/1980,01/01/1980,
TPO-44E,TPO-44E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-44E.pdf,https://www.stockport.gov.uk/TPO/44E,,01/03/1980,,01/03/1980,01/03/1980,
TPO-45E,TPO-45E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-45E.pdf,https://www.stockport.gov.uk/TPO/45E,,01/03/1980,,01/03/1980,01/03/1980,
TPO-57E,TPO-57E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-57E.pdf,https://www.stockport.gov.uk/TPO/57E,,18/06/1982,,18/06/1982,18/06/1982,
TPO-58E,TPO-58E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-58E.pdf,https://www.stockport.gov.uk/TPO/58E,,03/09/1981,,03/09/1981,03/09/1981,
TPO-64E,TPO-64E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-64E.pdf,https://www.stockport.gov.uk/TPO/64E,,03/09/1981,,03/09/1981,03/09/1981,
TPO-65E,TPO-65E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-65E.pdf,https://www.stockport.gov.uk/TPO/65E,,03/09/1981,,03/09/1981,03/09/1981,
TPO-66E,TPO-66E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-66E.pdf,https://www.stockport.gov.uk/TPO/66E,,12/10/1981,,12/10/1981,12/10/1981,
TPO-67E,TPO-67E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-67E.pdf,https://www.stockport.gov.uk/TPO/67E,,21/10/1981,,21/10/1981,21/10/1981,
TPO-81E,TPO-81E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-81E.pdf,https://www.stockport.gov.uk/TPO/81E,,31/03/1983,,31/03/1983,31/03/1983,
TPO-70E,TPO-70E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-70E.pdf,https://www.stockport.gov.uk/TPO/70E,,16/02/1982,,16/02/1982,16/02/1982,
TPO-71E,TPO-71E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-71E.pdf,https://www.stockport.gov.uk/TPO/71E,,19/03/1982,,19/03/1982,19/03/1982,
TPO-73E,TPO-73E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-73E.pdf,https://www.stockport.gov.uk/TPO/73E,,30/07/1982,,30/07/1982,30/07/1982,
TPO-96W,TPO-96W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-96W.pdf,https://www.stockport.gov.uk/TPO/96W,,01/09/1974,,01/09/1974,01/09/1974,
TPO-74E,TPO-74E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-74E.pdf,https://www.stockport.gov.uk/TPO/74E,,30/07/1982,,30/07/1982,30/07/1982,
TPO-101E,TPO-101E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-101E.pdf,https://www.stockport.gov.uk/TPO/101E,,28/09/1984,,28/09/1984,28/09/1984,
TPO-75E,TPO-75E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-75E.pdf,https://www.stockport.gov.uk/TPO/75E,,30/07/1982,,30/07/1982,30/07/1982,
TPO-76E,TPO-76E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-76E.pdf,https://www.stockport.gov.uk/TPO/76E,,30/07/1982,,30/07/1982,30/07/1982,
TPO-79E,TPO-79E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-79E.pdf,https://www.stockport.gov.uk/TPO/79E,,25/02/1983,,25/02/1983,25/02/1983,
TPO-86E,TPO-86E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-86E.pdf,https://www.stockport.gov.uk/TPO/86E,,09/09/1983,,09/09/1983,09/09/1983,
TPO-89E,TPO-89E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-89E.pdf,https://www.stockport.gov.uk/TPO/89E,,02/12/1983,,02/12/1983,02/12/1983,
TPO-91E,TPO-91E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-91E.pdf,https://www.stockport.gov.uk/TPO/91E,,02/12/1983,,02/12/1983,02/12/1983,
TPO-92E,TPO-92E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-92E.pdf,https://www.stockport.gov.uk/TPO/92E,,02/12/1983,,02/12/1983,02/12/1983,
TPO-94E,TPO-94E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-94E.pdf,https://www.stockport.gov.uk/TPO/94E,,25/11/1983,,25/11/1983,25/11/1983,
TPO-95E,TPO-95E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-95E.pdf,https://www.stockport.gov.uk/TPO/95E,,13/01/1984,,13/01/1984,13/01/1984,
TPO-99E,TPO-99E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-99E.pdf,https://www.stockport.gov.uk/TPO/99E,,14/06/1984,,14/06/1984,14/06/1984,
TPO-103E,TPO-103E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-103E.pdf,https://www.stockport.gov.uk/TPO/103E,,16/11/1984,,16/11/1984,16/11/1984,
TPO-104E,TPO-104E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-104E.pdf,https://www.stockport.gov.uk/TPO/104E,,16/11/1984,,16/11/1984,16/11/1984,
TPO-105E,TPO-105E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-105E.pdf,https://www.stockport.gov.uk/TPO/105E,,16/11/1984,,16/11/1984,16/11/1984,
TPO-109E,TPO-109E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-109E.pdf,https://www.stockport.gov.uk/TPO/109E,,01/06/1985,,01/06/1985,01/06/1985,
TPO-113E,TPO-113E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-113E.pdf,https://www.stockport.gov.uk/TPO/113E,,29/11/1985,,29/11/1985,29/11/1985,
TPO-114E,TPO-114E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-114E.pdf,https://www.stockport.gov.uk/TPO/114E,,07/02/1986,,07/02/1986,07/02/1986,
TPO-118E,TPO-118E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-118E.pdf,https://www.stockport.gov.uk/TPO/118E,,18/04/1986,,18/04/1986,18/04/1986,
TPO-121E,TPO-121E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-121E.pdf,https://www.stockport.gov.uk/TPO/121E,,12/12/1986,,12/12/1986,12/12/1986,
TPO-122E,TPO-122E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-122E.pdf,https://www.stockport.gov.uk/TPO/122E,,09/01/1987,,09/01/1987,09/01/1987,
TPO-123E,TPO-123E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-123E.pdf,https://www.stockport.gov.uk/TPO/123E,,08/05/1987,,08/05/1987,08/05/1987,
TPO-125E,TPO-125E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-125E.pdf,https://www.stockport.gov.uk/TPO/125E,,18/09/1987,,18/09/1987,18/09/1987,
TPO-126E,TPO-126E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-126E.pdf,https://www.stockport.gov.uk/TPO/126E,,06/05/1987,,06/05/1987,06/05/1987,
TPO-127E,TPO-127E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-127E.pdf,https://www.stockport.gov.uk/TPO/127E,,29/05/1987,,29/05/1987,29/05/1987,
TPO-138E,TPO-138E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-138E.pdf,https://www.stockport.gov.uk/TPO/138E,,02/12/1988,,02/12/1988,02/12/1988,
TPO-144E,TPO-144E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-144E.pdf,https://www.stockport.gov.uk/TPO/144E,,31/05/1989,,31/05/1989,31/05/1989,
TPO-146E,TPO-146E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-146E.pdf,https://www.stockport.gov.uk/TPO/146E,,23/06/1989,,23/06/1989,23/06/1989,
TPO-147E,TPO-147E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-147E.pdf,https://www.stockport.gov.uk/TPO/147E,,23/06/1989,,23/06/1989,23/06/1989,
TPO-148E,TPO-148E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-148E.pdf,https://www.stockport.gov.uk/TPO/148E,,14/09/1990,,14/09/1990,14/09/1990,
TPO-151E,TPO-151E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-151E.pdf,https://www.stockport.gov.uk/TPO/151E,,01/01/1991,,01/01/1991,01/01/1991,
TPO-155E,TPO-155E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-155E.pdf,https://www.stockport.gov.uk/TPO/155E,,16/08/1991,,16/08/1991,16/08/1991,
TPO-156E,TPO-156E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-156E.pdf,https://www.stockport.gov.uk/TPO/156E,,06/12/1991,,06/12/1991,06/12/1991,
TPO-160E,TPO-160E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-160E.pdf,https://www.stockport.gov.uk/TPO/160E,,08/11/1991,,08/11/1991,08/11/1991,
TPO-161E,TPO-161E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-161E.pdf,https://www.stockport.gov.uk/TPO/161E,,08/11/1991,,08/11/1991,08/11/1991,
TPO-170E,TPO-170E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-170E.pdf,https://www.stockport.gov.uk/TPO/170E,,25/02/1992,,25/02/1992,25/02/1992,
TPO-171E,TPO-171E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-171E.pdf,https://www.stockport.gov.uk/TPO/171E,,19/02/1993,,19/02/1993,19/02/1993,
TPO-174E,TPO-174E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-174E.pdf,https://www.stockport.gov.uk/TPO/174E,,19/11/1993,,19/11/1993,19/11/1993,
TPO-176E,TPO-176E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-176E.pdf,https://www.stockport.gov.uk/TPO/176E,,30/09/1993,,30/09/1993,30/09/1993,
TPO-178E,TPO-178E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-178E.pdf,https://www.stockport.gov.uk/TPO/178E,,05/11/1993,,05/11/1993,05/11/1993,
TPO-184E,TPO-184E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-184E.pdf,https://www.stockport.gov.uk/TPO/184E,,18/06/1993,,18/06/1993,18/06/1993,
TPO-187E,TPO-187E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-187E.pdf,https://www.stockport.gov.uk/TPO/187E,,10/12/1993,,10/12/1993,10/12/1993,
TPO-188E,TPO-188E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-188E.pdf,https://www.stockport.gov.uk/TPO/188E,,10/12/1993,,10/12/1993,10/12/1993,
TPO-191E,TPO-191E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-191E.pdf,https://www.stockport.gov.uk/TPO/191E,,02/11/1994,,02/11/1994,02/11/1994,
TPO-193E,TPO-193E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-193E.pdf,https://www.stockport.gov.uk/TPO/193E,,11/11/1994,,11/11/1994,11/11/1994,
