Reference,name,document-url,documentation-url,notes,made_date,start_date,confirmed_date,end_date,entry_date
HRN 30.01.07,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/HRN01.07.pdf,,,2007-01-30,2007-01-30,,,2007-01-30
TPO0004,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO00004.pdf,,,1962-12-12,1962-12-12,1963-02-18,,2004-06-01
TPO0006H,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO00006H.pdf,,,1965-02-02,1965-02-02,1965-04-01,,2004-06-01
TPO0007,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO00007.pdf,,,1964-03-26,1964-03-26,1964-04-02,,2004-06-01
TPO0027,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO00027.pdf,,,1967-10-06,1967-10-06,1968-10-10,,2004-06-01
TPO0036,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO00036.pdf,,,1967-11-03,1967-11-03,1969-06-26,,2004-06-01
TPO0052,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO00052.pdf,,,1971-07-22,1971-07-22,,,2004-06-01
TPO0055,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO00055.pdf,,,1971-02-26,1971-02-26,1971-06-14,,2004-06-01
TPO0084,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO00084.pdf,,,1973-01-19,1973-01-19,1973-05-22,,2004-06-01
TPO0086,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO00086.pdf,,,1973-10-25,1973-10-25,1974-01-09,,2004-06-01
TPO1001,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01001.pdf,,,1974-07-18,1974-07-18,1974-09-02,,2004-06-01
TPO1017,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01017.pdf,,,1975-01-03,1975-01-03,,,2004-06-01
TPO1028,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01028.pdf,,,1976-06-29,1976-06-29,1976-08-11,,2004-06-01
TPO1033,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01033.pdf,,,1975-10-29,1975-10-29,1975-12-10,,2004-06-01
TPO1047,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01047.pdf,,,1978-01-05,1978-01-05,1978-03-15,,2004-06-01
TPO1055,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01055.pdf,,,1978-10-25,1978-10-25,1971-01-24,,2004-06-01
TPO1066,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01066.pdf,,,1980-07-28,1980-07-28,1980-10-08,,2004-06-01
TPO1077,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01077.pdf,,,1983-05-18,1983-05-18,1983-10-26,,2004-06-01
TPO1102,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01102.pdf,,,1983-05-31,1983-05-31,1983-08-17,,2004-06-01
TPO1105,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01105.pdf,,,1984-05-23,1984-05-23,1985-02-06,,2004-06-01
