Reference,name,document-url,documentation-url,notes,made_date,start_date,confirmed_date,end_date,entry_date
TPO1130,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01130.pdf,,,1985-09-25,1985-09-25,1985-11-19,,2004-06-01
TPO1158,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01158.pdf,,,1987-08-26,1987-08-26,1988-02-18,,2004-06-01
TPO1171,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01171.pdf,,,1988-06-22,1988-06-22,1988-12-05,,2004-06-01
TPO1181,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01181.pdf,,,1989-04-26,1989-04-26,1989-10-16,,2004-06-01
TPO1190,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01190.pdf,,,1990-01-10,1990-01-10,1990-06-25,,2004-06-01
TPO1196,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01196.pdf,,,1989-11-22,1989-11-22,1990-04-17,,2004-06-01
TPO1197,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01197.pdf,,,1989-11-15,1989-11-15,1990-02-05,,2004-06-01
TPO1224,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01224.pdf,,,1990-10-24,1990-10-24,1991-02-18,,2004-06-01
TPO1240,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01240.pdf,,,1991-11-06,1991-11-06,1992-04-13,,2004-06-01
TPO1243,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01243.pdf,,,1991-12-19,1991-12-19,1992-05-26,,2004-06-01
TPO1245,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01245.pdf,,,1992-01-22,1992-01-22,1992-05-11,,2004-06-01
TPO1252,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01252.pdf,,,1992-05-13,1992-05-13,1992-09-01,,2004-06-01
TPO1254,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01254.pdf,,,1992-06-10,1992-06-10,1992-11-18,,2004-06-01
TPO1287,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01287.pdf,,,1994-12-21,1994-12-21,1995-02-20,,2004-06-01
TPO1293,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01293.pdf,,,1995-03-17,1995-03-17,1995-06-12,,2004-06-01
TPO1294,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01294.pdf,,,1995-04-19,1995-04-19,1995-07-31,,2004-06-01
TPO1298,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01298.pdf,,,1995-06-21,1995-06-21,1995-11-20,,2004-06-01
TPO1312,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01312.pdf,,,1996-07-26,1996-07-26,1996-11-25,,2004-06-01
TPO1320,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01320.pdf,,,1997-02-07,1997-02-07,1997-05-06,,2004-06-01
TPO1338,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01338.pdf,,,1998-01-07,1998-01-07,1998-06-08,,2004-06-01
TPO1348,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01348.pdf,,,1998-05-06,1998-05-06,1998-10-19,,2004-06-01
TPO1349,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01349.pdf,,,1998-05-20,1998-05-20,1998-11-09,,2004-06-01
TPO1350,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01350.pdf,,,1998-05-27,1998-05-27,1998-10-26,,2004-06-01
TPO1353,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01353.pdf,,,1998-07-20,1998-07-20,1998-12-15,,2004-06-01
TPO1355,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01355.pdf,,,1998-08-19,1998-08-19,1999-02-01,,2004-06-01
TPO1356,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01356.pdf,,,1998-09-30,1998-09-30,1999-02-15,,2004-06-01
TPO1359,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01359.pdf,,,1999-01-06,1999-01-06,1999-06-28,,2004-06-01
TPO1363,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01363.pdf,,,1999-03-17,1999-03-17,1999-08-09,,2004-06-01
TPO1364,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01364.pdf,,,1999-03-17,1999-03-17,1999-08-09,,2004-06-01
TPO1368,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01368.pdf,,,1999-09-15,1999-09-15,2000-01-17,,2004-06-01
TPO1373,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01373.pdf,,,1999-11-25,1999-11-25,2000-03-20,,2004-06-01
TPO1379,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01379.pdf,,,2000-04-11,2000-04-11,2000-08-29,,2004-06-01
TPO1382,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01382.pdf,,,2000-05-17,2000-05-17,2000-09-11,,2004-06-01
TPO1383,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01383.pdf,,,2000-05-17,2000-05-17,2000-09-11,,2004-06-01
TPO1385,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01385.pdf,,,2000-06-28,2000-06-28,2000-10-02,,2004-06-01
TPO1386,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01386.pdf,,,2000-06-21,2000-06-21,2000-10-09,,2004-06-01
TPO1390,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01390.pdf,,,2000-08-23,2000-08-23,2001-01-08,,2004-06-01
TPO1392,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01392.pdf,,,2000-09-08,2000-09-08,2001-02-26,,2004-06-01
TPO1394,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01394.pdf,,,2000-10-02,2000-10-02,2001-02-26,,2004-06-01
TPO1395,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01395.pdf,,,2000-10-04,2000-10-04,2001-03-12,,2004-06-01
TPO1396,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01396.pdf,,,2001-03-01,2001-03-01,2001-07-23,,2004-06-01
TPO1397,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01397.pdf,,,2001-03-01,2001-03-01,2001-07-23,,2004-06-01
TPO1398,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01398.pdf,,,2001-03-29,2001-03-29,2001-08-06,,2004-06-01
TPO1421,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01421.pdf,,,2003-06-25,2003-06-25,2003-10-27,,2004-06-01
TPO1423,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01423.pdf,,,2003-07-30,2003-07-30,2003-12-22,,2004-06-01
TPO1431,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01431.pdf,,,2004-05-12,2004-05-12,,,2004-06-01
TPO1432,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01432.pdf,,,2004-05-12,2004-05-12,2004-10-18,,2004-06-01
TPO1436,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01436.pdf,,,2004-08-18,2004-08-18,2004-12-20,,2004-08-18
TPO1438,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01438.pdf,,,2004-11-17,2004-11-17,,,2004-11-17
TPO1440,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01440.pdf,,,2005-03-09,2005-03-09,2005-06-27,,2005-03-09
TPO1441,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01441.pdf,,,2005-03-16,2005-03-16,,,2005-03-16
TPO1443,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01443.pdf,,,2005-08-10,2005-08-10,2005-11-28,,2005-08-10
TPO1444,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01444.pdf,,,2005-09-21,2005-09-21,2006-01-16,,2005-09-21
TPO1445,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01445.pdf,,,2005-09-28,2005-09-28,2006-01-22,,2005-09-28
TPO1448,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01448.pdf,,,2006-02-08,2006-02-08,2006-06-12,,2006-02-08
TPO1449,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01449.pdf,,,2006-02-08,2006-02-08,2006-05-08,,2006-02-08
TPO1455,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01455.pdf,,,2006-05-25,2006-05-25,2006-10-16,,2006-05-25
TPO1459,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01459.pdf,,,2006-11-01,2006-11-01,2007-02-07,,2006-11-01
TPO1466,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01466.pdf,,,2007-07-03,2007-07-03,2007-11-19,,2007-07-03
TPO1474,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01474.pdf,,,2008-06-13,2008-06-13,2008-12-12,,2008-06-13
TPO1482,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01482.pdf,,,2009-02-02,2009-02-02,2009-07-13,,2009-02-02
TPO1492,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01492.pdf,,,2009-08-17,2009-08-17,2009-11-02,,2009-08-17
TPO1496,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01496.pdf,,,2009-08-20,2009-08-20,2009-11-16,,2009-08-20
TPO1502,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01502.pdf,,,2010-01-20,2010-01-20,2010-05-20,,2010-01-20
TPO1505,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01505.pdf,,,2010-03-02,2010-03-02,2010-05-11,,2010-03-02
TPO1506,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01506.pdf,,,2010-02-03,2010-02-03,2010-07-30,,2010-02-03
TPO1523,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01523.pdf,,,2011-12-15,2011-12-15,,,2011-12-15
TPO1527,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01527.pdf,,,2012-06-21,2012-06-21,2012-11-16,,2012-06-21
TPO1536,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01536.pdf,,,2012-12-19,2012-12-19,2013-06-05,,2012-12-19
TPO1537,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01537.pdf,,,2012-12-19,2012-12-19,2013-06-05,,2012-12-19
TPO1539,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01539.pdf,,,2013-01-31,2013-01-31,2013-07-30,,2013-01-31
TPO1544,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01544.pdf,,,2013-04-15,2013-04-15,2013-10-14,,2013-04-15
TPO1547,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01547.pdf,,,2013-07-09,2013-07-09,2014-01-09,,2013-07-09
TPO1549,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01549.pdf,,,2013-10-18,2013-10-18,2014-04-15,,2013-10-18
TPO1552,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01552.pdf,,,2014-03-20,2014-03-20,,,2014-03-20
TPO1556,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01556.pdf,,,2014-10-29,2014-10-29,2015-04-15,,2014-10-29
TPO1560,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01560.pdf,,,2015-06-16,2015-06-16,2015-12-15,,2015-06-16
TPO1561,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01561.pdf,,,2015-07-15,2015-07-15,2015-11-30,,2015-07-15
TPO1564,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01564.pdf,,,2015-12-18,2015-12-18,2016-04-06,,2015-12-18
TPO1566,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01566.pdf,,,2016-02-01,2016-02-01,2016-07-04,,2016-02-01
TPO1567,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01567.pdf,,,2016-03-17,2016-03-17,2016-09-15,,2016-03-17
TPO1568,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01568.pdf,,,2016-04-21,2016-04-21,2016-09-05,,2016-04-21
TPO1569,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01569.pdf,,,2016-04-25,2016-04-25,2016-08-25,,2016-04-25
TPO1570,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01570.pdf,,,2016-05-04,2016-05-04,2016-09-05,,2016-05-04
TPO1571,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01571.pdf,,,2016-05-05,2016-05-05,2016-09-05,,2016-05-05
TPO1572,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01572.pdf,,,2016-04-29,2016-04-29,2016-09-05,,2016-04-29
TPO1574,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01574.pdf,,,2016-05-09,2016-05-09,2016-09-05,,2016-05-09
TPO1575,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01575.pdf,,,2016-05-12,2016-05-12,2016-10-27,,2016-05-12
TPO1577,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01577.pdf,,,2016-05-23,2016-05-23,2016-08-25,,2016-05-23
TPO1578,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01578.pdf,,,2016-05-24,2016-05-24,2016-08-25,,2016-05-24
TPO1581,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01581.pdf,,,2016-06-07,2016-06-07,2016-09-19,,2016-06-07
TPO1585,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01585.pdf,,,2016-07-15,2016-07-15,2016-12-13,,2016-07-15
TPO1586,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01586.pdf,,,2016-06-16,2016-06-16,2016-09-19,,2016-06-16
TPO1587,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01587.pdf,,,2016-06-22,2016-06-22,2016-09-19,,2016-06-22
TPO1594,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01594.pdf,,,2016-07-01,2016-07-01,2016-11-10,,2016-07-01
TPO1596,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01596.pdf,,,2016-07-06,2016-07-06,2016-10-03,,2016-07-06
TPO1601,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01601.pdf,,,2016-07-20,2016-07-20,2016-12-13,,2016-07-20
TPO1604,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01604.pdf,,,2016-07-29,2016-07-29,2016-11-10,,2016-07-29
TPO1606,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01606.pdf,,,2016-07-29,2016-07-29,2016-12-20,,2016-07-29
TPO1608,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01608.pdf,,,2016-08-03,2016-08-03,2017-01-11,,2016-08-03
TPO1609,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01609.pdf,,,2016-08-05,2016-08-05,2016-10-27,,2016-08-05
TPO1612,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01612.pdf,,,2016-08-11,2016-08-11,2017-02-02,,2016-08-11
TPO1613,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01613.pdf,,,2016-08-17,2016-08-17,2016-12-20,,2016-08-17
TPO1625,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01625.pdf,,,2016-09-22,2016-09-22,2017-02-08,,2016-09-22
TPO1629,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01629.pdf,,,2016-09-28,2016-09-28,2017-01-11,,2016-09-28
TPO1631,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01631.pdf,,,2016-10-03,2016-10-03,2017-01-17,,2016-10-03
TPO1632,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01632.pdf,,,2016-10-06,2016-10-06,2017-02-08,,2016-10-06
TPO1634,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01634.pdf,,,2016-10-06,2016-10-06,2017-01-13,,2016-10-06
TPO1635,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01635.pdf,,,2016-10-07,2016-10-07,2017-01-17,,2016-10-07
TPO1638,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01638.pdf,,,2016-10-12,2016-10-12,2017-02-21,,2016-10-12
TPO1641,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01641.pdf,,,2016-10-13,2016-10-13,2017-03-09,,2016-10-13
TPO1647,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01647.pdf,,,2016-10-14,2016-10-14,2017-02-21,,2016-10-14
TPO1648,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01648.pdf,,,2016-10-18,2016-10-18,2017-02-21,,2016-10-18
TPO1661,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01661.pdf,,,2016-11-15,2016-11-15,2017-02-21,,2016-11-15
TPO1665,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01665.pdf,,,2016-11-09,2016-11-09,2017-03-24,,2016-11-09
TPO1666,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01666.pdf,,,2016-11-09,2016-11-09,2017-03-24,,2016-11-09
TPO1671,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01671.pdf,,,2016-11-15,2016-11-15,2017-03-24,,2016-11-15
TPO1674,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01674.pdf,,,2016-11-23,2016-11-23,2017-02-21,,2016-11-23
TPO1680,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01680.pdf,,,2016-11-24,2016-11-24,2017-03-10,,2016-11-24
TPO1682,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01682.pdf,,,2016-11-24,2016-11-24,2017-03-10,,2016-11-24
TPO1684,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01684.pdf,,,2016-12-05,2016-12-05,2017-03-24,,2016-12-05
TPO1685,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01685.pdf,,,2017-03-08,2017-03-08,2017-07-27,,2017-03-08
TPO1687,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01687.pdf,,,2016-12-02,2016-12-02,2017-04-19,,2016-12-02
TPO1688,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01688.pdf,,,2016-12-02,2016-12-02,2017-04-05,,2016-12-02
TPO1691,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01691.pdf,,,2016-12-08,2016-12-08,2017-04-05,,2016-12-08
TPO1700,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01700.pdf,,,2016-12-14,2016-12-14,2017-04-19,,2016-12-14
TPO1702,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01702.pdf,,,2016-12-16,2016-12-16,2017-04-05,,2016-12-16
TPO1704,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01704.pdf,,,2017-02-08,2017-02-08,2017-05-23,,2017-02-08
TPO1707,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01707.pdf,,,2017-01-16,2017-01-16,2017-05-23,,2017-01-16
TPO1708,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01708.pdf,,,2017-01-16,2017-01-16,2017-05-23,,2017-01-16
