reference,name123212,tree_preservation_order,geometry,uprn,address_text,notes,felled_date,entry_date,start_date,end_date
T22-TPO-78E,TPO-78E,TPO-78E,"POLYGON ((-2.1439557 53.391705,-2.143956 53.3917,-2.143957 53.391697,-2.1439583 53.391693,-2.1439602 53.39169,-2.1439629 53.391685,-2.1439657 53.39168,-2.1439693 53.39168,-2.1439734 53.391678,-2.1439776 53.391674,-2.1439826 53.39167,-2.143988 53.39167,-2.1439934 53.391666,-2.143999 53.391666,-2.1440053 53.391663,-2.1440115 53.391663,-2.144018 53.391663,-2.1440244 53.391663,-2.1440308 53.39166,-2.1440375 53.391663,-2.144044 53.391663,-2.1440504 53.391663,-2.1440566 53.391663,-2.1440628 53.391666,-2.1440685 53.391666,-2.144074 53.39167,-2.1440792 53.39167,-2.144084 53.391674,-2.1440885 53.391678,-2.1440926 53.39168,-2.1440961 53.39168,-2.144099 53.391685,-2.1441016 53.39169,-2.1441035 53.391693,-2.144105 53.391697,-2.144106 53.3917,-2.1441061 53.391705,-2.144106 53.39171,-2.144105 53.391712,-2.1441035 53.391716,-2.1441016 53.39172,-2.1440992 53.391724,-2.1440961 53.391727,-2.1440926 53.39173,-2.1440885 53.391735,-2.1440842 53.39174,-2.1440792 53.39174,-2.1440742 53.391743,-2.1440685 53.391743,-2.1440628 53.391747,-2.1440568 53.391747,-2.1440504 53.39175,-2.1440442 53.39175,-2.1440375 53.39175,-2.144031 53.39175,-2.1440244 53.39175,-2.144018 53.39175,-2.1440115 53.39175,-2.1440053 53.391747,-2.1439993 53.391747,-2.1439934 53.391743,-2.143988 53.391743,-2.1439826 53.39174,-2.1439779 53.39174,-2.1439734 53.391735,-2.1439693 53.39173,-2.143966 53.391727,-2.1439629 53.391724,-2.1439602 53.39172,-2.1439583 53.391716,-2.143957 53.391712,-2.143956 53.39171,-2.1439557 53.391705))",,,,,15/10/1982,15/10/1982,
T22-TPO-78E,TPO-68E,TPO-68E,"POLYGON ((-2.0526927 53.39988,-2.0526931 53.399876,-2.0526938 53.39987,-2.0526953 53.399868,-2.0526972 53.399864,-2.0526998 53.39986,-2.052703 53.39986,-2.0527062 53.399857,-2.0527103 53.399853,-2.0527148 53.39985,-2.0527196 53.399845,-2.0527248 53.399845,-2.0527303 53.39984,-2.0527363 53.39984,-2.0527422 53.399837,-2.0527484 53.399837,-2.0527549 53.399837,-2.0527613 53.399837,-2.052768 53.399837,-2.0527744 53.399837,-2.052781 53.399837,-2.0527873 53.399837,-2.0527937 53.399837,-2.0527997 53.39984,-2.0528057 53.39984,-2.0528111 53.399845,-2.0528164 53.399845,-2.0528212 53.39985,-2.0528255 53.399853,-2.0528295 53.399857,-2.052833 53.399857,-2.0528362 53.39986,-2.0528386 53.399864,-2.0528407 53.399868,-2.052842 53.39987,-2.0528429 53.399876,-2.052843 53.39988,-2.0528429 53.399883,-2.0528421 53.399887,-2.0528407 53.39989,-2.0528386 53.399895,-2.0528362 53.3999,-2.052833 53.399902,-2.0528295 53.399906,-2.0528257 53.39991,-2.0528212 53.399914,-2.0528164 53.399914,-2.0528111 53.399918,-2.0528057 53.39992,-2.0527997 53.39992,-2.0527937 53.39992,-2.0527875 53.399925,-2.052781 53.399925,-2.0527744 53.399925,-2.052768 53.399925,-2.0527613 53.399925,-2.0527549 53.399925,-2.0527484 53.399925,-2.0527422 53.39992,-2.0527363 53.39992,-2.0527303 53.39992,-2.0527248 53.399918,-2.0527196 53.399914,-2.0527148 53.399914,-2.0527103 53.39991,-2.0527065 53.399906,-2.052703 53.399902,-2.0526998 53.3999,-2.0526974 53.399895,-2.0526953 53.39989,-2.0526938 53.399887,-2.0526931 53.399883,-2.0526927 53.39988))",,,,,18/06/1982,18/06/1982,
T22-TPO-78E,TPO-192W,TPO-192W,"POLYGON ((-2.1501133 53.373447,-2.1501136 53.373444,-2.1501145 53.37344,-2.150116 53.373436,-2.1501179 53.373432,-2.1501203 53.37343,-2.1501234 53.373425,-2.150127 53.37342,-2.1501307 53.373417,-2.1501353 53.373413,-2.15014 53.373413,-2.1501453 53.37341,-2.1501508 53.373405,-2.1501567 53.373405,-2.1501627 53.373405,-2.150169 53.3734,-2.1501753 53.3734,-2.1501818 53.3734,-2.1501884 53.3734,-2.150195 53.3734,-2.1502016 53.3734,-2.1502078 53.3734,-2.1502142 53.373405,-2.1502202 53.373405,-2.1502259 53.373405,-2.1502316 53.37341,-2.1502368 53.373413,-2.1502416 53.373413,-2.150246 53.373417,-2.15025 53.37342,-2.1502535 53.373425,-2.1502566 53.37343,-2.150259 53.373432,-2.150261 53.373436,-2.1502624 53.37344,-2.1502633 53.373444,-2.1502635 53.373447,-2.1502633 53.37345,-2.1502626 53.373455,-2.1502612 53.37346,-2.150259 53.373463,-2.1502566 53.373466,-2.1502535 53.373466,-2.15025 53.37347,-2.1502461 53.373474,-2.1502416 53.373478,-2.1502368 53.37348,-2.1502316 53.37348,-2.150226 53.373486,-2.1502204 53.373486,-2.1502142 53.37349,-2.150208 53.37349,-2.1502016 53.37349,-2.1501951 53.37349,-2.1501884 53.37349,-2.150182 53.37349,-2.1501756 53.37349,-2.1501691 53.37349,-2.1501627 53.37349,-2.1501567 53.373486,-2.150151 53.373486,-2.1501453 53.37348,-2.1501403 53.37348,-2.1501353 53.373478,-2.150131 53.373474,-2.150127 53.37347,-2.1501234 53.37347,-2.1501205 53.373466,-2.1501179 53.373463,-2.150116 53.37346,-2.1501145 53.373455,-2.1501136 53.37345,-2.1501133 53.373447))",,,,,16/11/1990,16/11/1990,
T22-TPO-78E,TPO-276E,TPO-276E,"POLYGON ((-2.062563 53.391136,-2.0625632 53.391132,-2.0625641 53.39113,-2.0625656 53.391125,-2.0625675 53.39112,-2.0625699 53.391117,-2.062573 53.391113,-2.0625765 53.39111,-2.0625806 53.391106,-2.0625849 53.3911,-2.06259 53.3911,-2.062595 53.391098,-2.0626006 53.391098,-2.0626063 53.391094,-2.0626123 53.391094,-2.0626187 53.39109,-2.062625 53.39109,-2.0626316 53.39109,-2.062638 53.39109,-2.0626447 53.39109,-2.0626512 53.39109,-2.0626576 53.39109,-2.0626638 53.391094,-2.0626698 53.391094,-2.0626757 53.391098,-2.0626812 53.391098,-2.0626864 53.3911,-2.0626912 53.3911,-2.0626957 53.391106,-2.0626998 53.39111,-2.0627031 53.391113,-2.0627062 53.391117,-2.0627089 53.39112,-2.0627108 53.391125,-2.0627122 53.39113,-2.062713 53.391132,-2.0627134 53.391136,-2.062713 53.39114,-2.0627122 53.391144,-2.0627108 53.391148,-2.0627089 53.39115,-2.0627062 53.391155,-2.0627031 53.39116,-2.0626998 53.39116,-2.0626957 53.391163,-2.0626912 53.391167,-2.0626864 53.39117,-2.0626812 53.39117,-2.0626757 53.391174,-2.06267 53.391174,-2.0626638 53.39118,-2.0626576 53.39118,-2.0626512 53.39118,-2.0626447 53.39118,-2.062638 53.391182,-2.0626316 53.39118,-2.0626252 53.39118,-2.0626187 53.39118,-2.0626125 53.39118,-2.0626063 53.391174,-2.0626006 53.391174,-2.0625951 53.39117,-2.06259 53.39117,-2.0625849 53.391167,-2.0625806 53.391163,-2.0625765 53.39116,-2.062573 53.39116,-2.06257 53.391155,-2.0625675 53.39115,-2.0625656 53.391148,-2.0625641 53.391144,-2.0625632 53.39114,-2.062563 53.391136))",,,,,,,
T22-TPO-78E,TPO-402W,TPO-402W,"POLYGON ((-2.1791556 53.362152,-2.1791558 53.36215,-2.1791568 53.362144,-2.1791582 53.36214,-2.17916 53.362137,-2.1791625 53.362133,-2.1791656 53.36213,-2.1791692 53.362125,-2.1791732 53.36212,-2.1791775 53.362118,-2.1791823 53.362118,-2.1791875 53.362114,-2.179193 53.362114,-2.179199 53.36211,-2.179205 53.36211,-2.1792111 53.362106,-2.1792176 53.362106,-2.179224 53.362106,-2.1792307 53.362106,-2.1792371 53.362106,-2.1792438 53.362106,-2.17925 53.362106,-2.1792564 53.36211,-2.1792624 53.36211,-2.1792684 53.362114,-2.1792738 53.362114,-2.179279 53.362118,-2.1792839 53.362118,-2.1792881 53.36212,-2.1792922 53.362125,-2.1792958 53.36213,-2.1792989 53.362133,-2.1793013 53.362137,-2.1793034 53.36214,-2.1793046 53.362144,-2.1793056 53.36215,-2.1793058 53.362152,-2.1793056 53.362156,-2.1793048 53.36216,-2.1793034 53.362164,-2.1793013 53.362167,-2.1792989 53.36217,-2.1792958 53.362175,-2.1792922 53.36218,-2.1792884 53.36218,-2.1792839 53.362183,-2.179279 53.362186,-2.1792738 53.362186,-2.1792684 53.36219,-2.1792626 53.36219,-2.1792564 53.362194,-2.1792502 53.362194,-2.1792438 53.362194,-2.1792374 53.362198,-2.1792307 53.362198,-2.1792243 53.362198,-2.1792178 53.362194,-2.1792114 53.362194,-2.1792052 53.362194,-2.179199 53.36219,-2.1791933 53.36219,-2.1791878 53.362186,-2.1791825 53.362186,-2.1791778 53.362183,-2.1791732 53.36218,-2.1791692 53.36218,-2.1791656 53.362175,-2.1791627 53.36217,-2.17916 53.362167,-2.1791582 53.362164,-2.1791568 53.36216,-2.1791558 53.362156,-2.1791556 53.362152))",,,,,24/07/2009,24/07/2009,
T22-TPO-78E,TPO-423W,TPO-423W,"POLYGON ((-2.0628896 53.395027,-2.0628898 53.395023,-2.0628905 53.39502,-2.062892 53.395016,-2.062894 53.39501,-2.0628965 53.395008,-2.0628996 53.395004,-2.0629032 53.395004,-2.062907 53.395,-2.0629115 53.394997,-2.0629163 53.394993,-2.0629215 53.394993,-2.062927 53.39499,-2.062933 53.39499,-2.062939 53.394985,-2.0629451 53.394985,-2.0629516 53.394985,-2.062958 53.394985,-2.0629647 53.394985,-2.062971 53.394985,-2.0629778 53.394985,-2.062984 53.394985,-2.0629904 53.394985,-2.0629964 53.39499,-2.0630023 53.39499,-2.0630078 53.394993,-2.063013 53.394993,-2.0630178 53.394997,-2.0630221 53.395,-2.0630262 53.395004,-2.0630298 53.395004,-2.0630329 53.395008,-2.0630352 53.39501,-2.0630374 53.395016,-2.0630386 53.39502,-2.0630395 53.395023,-2.0630398 53.395027,-2.0630395 53.39503,-2.0630388 53.395035,-2.0630374 53.39504,-2.0630352 53.395042,-2.0630329 53.395046,-2.0630298 53.39505,-2.0630262 53.395054,-2.0630224 53.395058,-2.0630178 53.39506,-2.063013 53.39506,-2.0630078 53.395065,-2.0630023 53.39507,-2.0629964 53.39507,-2.0629904 53.39507,-2.0629842 53.395073,-2.0629778 53.395073,-2.062971 53.395073,-2.0629647 53.395073,-2.0629582 53.395073,-2.0629516 53.395073,-2.0629451 53.395073,-2.062939 53.39507,-2.062933 53.39507,-2.062927 53.39507,-2.0629215 53.395065,-2.0629163 53.39506,-2.0629115 53.39506,-2.062907 53.395058,-2.0629032 53.395054,-2.0628996 53.39505,-2.0628965 53.395046,-2.062894 53.395042,-2.062892 53.39504,-2.0628905 53.395035,-2.0628898 53.39503,-2.0628896 53.395027))",,,,,19/03/2015,19/03/2015,
T22-TPO-78E,TPO-307W,TPO-307W,"POLYGON ((-2.1900716 53.358463,-2.1900718 53.35846,-2.1900728 53.358456,-2.1900742 53.35845,-2.190076 53.358448,-2.1900785 53.358444,-2.1900816 53.35844,-2.1900852 53.35844,-2.190089 53.358437,-2.1900935 53.358433,-2.1900983 53.35843,-2.1901035 53.35843,-2.190109 53.358425,-2.190115 53.358425,-2.190121 53.35842,-2.1901271 53.35842,-2.1901336 53.35842,-2.19014 53.35842,-2.1901467 53.35842,-2.1901531 53.35842,-2.1901596 53.35842,-2.190166 53.35842,-2.1901722 53.35842,-2.1901784 53.358425,-2.190184 53.358425,-2.1901896 53.35843,-2.1901948 53.35843,-2.1901999 53.358433,-2.1902041 53.358437,-2.1902082 53.35844,-2.1902118 53.35844,-2.1902146 53.358444,-2.1902173 53.358448,-2.1902192 53.35845,-2.1902206 53.358456,-2.1902215 53.35846,-2.1902218 53.358463,-2.1902215 53.358467,-2.1902206 53.35847,-2.1902192 53.358475,-2.1902173 53.35848,-2.1902149 53.358482,-2.1902118 53.358486,-2.1902082 53.35849,-2.1902044 53.358494,-2.1901999 53.358498,-2.190195 53.358498,-2.1901898 53.3585,-2.1901844 53.3585,-2.1901784 53.358505,-2.1901724 53.358505,-2.1901662 53.35851,-2.1901598 53.35851,-2.1901534 53.35851,-2.1901467 53.35851,-2.1901402 53.35851,-2.1901338 53.35851,-2.1901274 53.35851,-2.1901212 53.358505,-2.190115 53.358505,-2.1901093 53.358505,-2.1901038 53.3585,-2.1900985 53.358498,-2.1900935 53.358498,-2.1900892 53.358494,-2.1900852 53.35849,-2.1900816 53.358486,-2.1900787 53.358482,-2.190076 53.35848,-2.1900742 53.358475,-2.1900728 53.35847,-2.1900718 53.358467,-2.1900716 53.358463))",,,,,17/05/2002,17/05/2002,
T22-TPO-78E,TPO-479W,TPO-479W,"POLYGON ((-2.1805217 53.37695,-2.180522 53.376945,-2.180523 53.37694,-2.1805243 53.376938,-2.1805263 53.376934,-2.1805286 53.37693,-2.1805317 53.37693,-2.1805353 53.376926,-2.1805391 53.376923,-2.1805437 53.37692,-2.1805484 53.376915,-2.1805537 53.376915,-2.1805592 53.37691,-2.180565 53.37691,-2.180571 53.376907,-2.1805773 53.376907,-2.1805837 53.376907,-2.1805902 53.376907,-2.1805968 53.376907,-2.1806033 53.376907,-2.18061 53.376907,-2.1806161 53.376907,-2.1806226 53.376907,-2.1806285 53.37691,-2.1806343 53.37691,-2.18064 53.376915,-2.1806452 53.376915,-2.18065 53.37692,-2.1806543 53.376923,-2.1806583 53.376926,-2.180662 53.376926,-2.180665 53.37693,-2.1806674 53.376934,-2.1806695 53.376938,-2.1806707 53.37694,-2.1806717 53.376945,-2.180672 53.37695,-2.1806717 53.376953,-2.180671 53.376957,-2.1806695 53.37696,-2.1806674 53.376965,-2.180665 53.37697,-2.180662 53.376972,-2.1806583 53.376976,-2.1806545 53.37698,-2.18065 53.376984,-2.1806452 53.376984,-2.18064 53.376987,-2.1806345 53.37699,-2.1806288 53.37699,-2.1806226 53.37699,-2.1806164 53.376995,-2.18061 53.376995,-2.1806035 53.376995,-2.1805968 53.376995,-2.1805904 53.376995,-2.180584 53.376995,-2.1805775 53.376995,-2.1805713 53.37699,-2.180565 53.37699,-2.1805594 53.37699,-2.180554 53.376987,-2.1805487 53.376984,-2.1805437 53.376984,-2.1805394 53.37698,-2.1805353 53.376976,-2.1805317 53.376972,-2.1805289 53.37697,-2.1805263 53.376965,-2.1805243 53.37696,-2.180523 53.376957,-2.180522 53.376953,-2.1805217 53.37695))",,,,,06/10/2025,06/10/2025,
T22-TPO-78E,TPO-60E,TPO-60E,"POLYGON ((-2.1487224 53.391876,-2.1487226 53.391872,-2.1487236 53.39187,-2.148725 53.391865,-2.148727 53.39186,-2.1487296 53.391857,-2.1487324 53.391853,-2.148736 53.391853,-2.14874 53.39185,-2.1487443 53.391846,-2.1487494 53.39184,-2.1487546 53.39184,-2.14876 53.391838,-2.1487658 53.391838,-2.148772 53.391834,-2.1487782 53.391834,-2.1487846 53.391834,-2.148791 53.391834,-2.1487975 53.391834,-2.1488042 53.391834,-2.1488106 53.391834,-2.148817 53.391834,-2.1488233 53.391834,-2.1488295 53.391838,-2.1488352 53.391838,-2.1488407 53.39184,-2.148846 53.39184,-2.1488507 53.391846,-2.1488552 53.39185,-2.1488593 53.391853,-2.1488628 53.391853,-2.1488657 53.391857,-2.1488683 53.39186,-2.1488702 53.391865,-2.1488717 53.39187,-2.1488726 53.391872,-2.1488729 53.391876,-2.1488726 53.39188,-2.1488717 53.391884,-2.1488702 53.391888,-2.1488683 53.39189,-2.148866 53.391895,-2.1488628 53.3919,-2.1488593 53.391903,-2.1488552 53.391907,-2.148851 53.39191,-2.1488461 53.39191,-2.148841 53.391914,-2.1488354 53.391914,-2.1488295 53.39192,-2.1488235 53.39192,-2.148817 53.391922,-2.1488109 53.391922,-2.1488042 53.391922,-2.1487978 53.391922,-2.148791 53.391922,-2.1487846 53.391922,-2.1487782 53.391922,-2.148772 53.39192,-2.148766 53.39192,-2.14876 53.39192,-2.1487546 53.391914,-2.1487494 53.39191,-2.1487446 53.39191,-2.14874 53.391907,-2.148736 53.391903,-2.1487327 53.3919,-2.1487296 53.391895,-2.148727 53.39189,-2.148725 53.391888,-2.1487236 53.391884,-2.148723 53.39188,-2.1487224 53.391876))",,,,,01/12/1980,01/12/1980,
T22-TPO-78E,TPO-60E,TPO-60E,"POLYGON ((-2.1487095 53.39183,-2.1487098 53.391827,-2.1487105 53.391823,-2.148712 53.39182,-2.1487138 53.391815,-2.1487164 53.39181,-2.1487195 53.391808,-2.148723 53.391804,-2.148727 53.391804,-2.1487315 53.3918,-2.1487362 53.391796,-2.1487415 53.391796,-2.148747 53.391792,-2.1487527 53.39179,-2.148759 53.39179,-2.148765 53.39179,-2.1487715 53.39179,-2.148778 53.391785,-2.1487846 53.391785,-2.148791 53.391785,-2.1487975 53.39179,-2.148804 53.39179,-2.1488104 53.39179,-2.1488163 53.39179,-2.148822 53.391792,-2.1488278 53.391792,-2.1488328 53.391796,-2.1488378 53.3918,-2.148842 53.391804,-2.1488461 53.391804,-2.1488497 53.391808,-2.1488528 53.39181,-2.1488552 53.391815,-2.148857 53.39182,-2.1488585 53.391823,-2.1488595 53.391827,-2.1488597 53.39183,-2.1488595 53.391834,-2.1488585 53.391838,-2.1488574 53.39184,-2.1488552 53.391846,-2.1488528 53.39185,-2.1488497 53.391853,-2.1488461 53.391857,-2.1488423 53.39186,-2.1488378 53.39186,-2.148833 53.391865,-2.1488278 53.39187,-2.1488223 53.39187,-2.1488163 53.391872,-2.1488104 53.391872,-2.1488042 53.391876,-2.1487978 53.391876,-2.1487913 53.391876,-2.1487846 53.391876,-2.1487782 53.391876,-2.1487715 53.391876,-2.148765 53.391876,-2.148759 53.391872,-2.148753 53.391872,-2.148747 53.39187,-2.1487415 53.39187,-2.1487362 53.391865,-2.1487315 53.391865,-2.148727 53.39186,-2.1487231 53.391857,-2.1487195 53.391853,-2.1487164 53.39185,-2.148714 53.391846,-2.148712 53.39184,-2.1487105 53.391838,-2.1487098 53.391834,-2.1487095 53.39183))",,,,,01/12/1980,01/12/1980,
