OrganisationLabel,PreviouslyPartOf,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate
Old Oak & Park Royal Development Corporation,DCS31,https://data.london.gov.uk/,ETRS89,-0.260822502,51.52157691,1.1,not owned by a public authority,yes,permissioned,outline planning permission,2016-08-08,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW7QJMTA375,,760,""" 8 blocks ranging in height from 6 to 32 storeys to incorporate up to 764 residential flats""","""5,134 sq.m (GEA) of flexible commercial uses""",,,,,,,2017-21-21,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS32,https://data.london.gov.uk/,ETRS89,-0.259371782,51.52201222,0.1,mixed ownership,,pending decision,,,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFPEEQJM09L00,,350,"""Part 10, part 36 storey building comprising 355 residential units, 30% affordable""","""549sqm (GIA) of flexible use class A1 and/or A2 and/or A3 and/or A4 and/or B1 and/or D1 and/or D2 floorspace""",,,,,,Permission is subject to S106 being agreed,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS33,https://data.london.gov.uk/,ETRS89,-0.258008262,51.52176357,0.5,not owned by a public authority,yes,permissioned,full planning permission,2017-12-06,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQIGENJM09L00,,250,"""Five buildings of 5, 7, 10, 11 and 31 storeys comprising 736 student bed spaces, 85 residential flats""","""6214sqm (GIA) of Office (B1) floorspace""",,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS34,https://data.london.gov.uk/,ETRS89,-0.262618841,51.52167959,0.4,not owned by a public authority,,not permissioned,,,,,200,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS35,https://data.london.gov.uk/,ETRS89,-0.261495486,51.52073034,0.2,not owned by a public authority,,pending decision,,,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?keyVal=OY0WU3JM0E200&activeTab=summary,,300,"""Two buildings of 25 and 35 storeys comprising 380 residential flats""","""11 ground floor commercial kitchens, and 2,208sqm NIA of flexible office space""",,,,,,Permission is subject to S106 being agreed,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS36,https://data.london.gov.uk/,ETRS89,-0.262254128,51.52003728,0.2,not owned by a public authority,,not permissioned,,,,,100,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS37,https://data.london.gov.uk/,ETRS89,-0.261539692,51.51956988,0.5,not owned by a public authority,,not permissioned,,,,,50,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS39,https://data.london.gov.uk/,ETRS89,-0.253067006,51.52012929,3.7,not owned by a public authority,,not permissioned,,,,,1400,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS40,https://data.london.gov.uk/,ETRS89,-0.251536338,51.521258,0.6,mixed ownership,,not permissioned,,,,,350,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS41,https://data.london.gov.uk/,ETRS89,-0.269332707,51.52841988,4,not owned by a public authority,,not permissioned,,,,,500,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS42,https://data.london.gov.uk/,ETRS89,-0.258555996,51.53493426,0.3,not owned by a public authority,yes,pending decision,,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6064&Ver=4,,150,"""Part 4, 5, 6 and 9 storey building comprising 141  extra care units (Use Class C2), 48 being affordable""",,,,,,,Permission is subject to S106 being agreed,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS43,https://data.london.gov.uk/,ETRS89,-0.282545928,51.53004154,2.7,not owned by a public authority,yes,permissioned,full planning permission,2013-06-27,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW7UJMTA945,,393,,229 room hotel,,,,,,This site includes an extant pemission for a hotel to the south of Coronation Road which has not been built out,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS43a,https://data.london.gov.uk/,ETRS89,-0.282545928,51.53004154,2.4,not owned by a public authority,yes,permissioned,full planning permission,2017-10-11,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6062&Ver=4,,807,"""5 to 27-storey buildings, 807 C3 homes of which 263 affordable""","""1354sqm retail/employment/community floorspace""",,,,,,,2018-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,,https://data.london.gov.uk/,ETRS89,-0.24226,51.52918,1,mixed ownership,,not permissioned,,,,,600,,,,,,,,,2018-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,,https://data.london.gov.uk/,ETRS89,-0.248023863,51.53184753,0.3,not owned by a public authority,,not permissioned,,,,,80,,,,,,,,,2018-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,,https://data.london.gov.uk/,ETRS89,-0.24666,51.53135954,0.8,not owned by a public authority,,not permissioned,,,,,250,,,,,,,,,2018-12-15,2018-12-15,
