OrganisationLabel,PreviouslyPartOf,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate
Old Oak & Park Royal Development Corporation,DCS1 (2017),https://data.london.gov.uk/,ETRS89,-240300864,5153246044,16,owned by a public authority,Y,not permissioned,,,,,700,,,,,,N,,,2017-15-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS2 (2017),https://data.london.gov.uk/,ETRS89,-0.237724808,51.53196316,2,not owned by a public authority,yes,permissioned,full planning permission,2017-21-21,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6062&Ver=4,,85,"""20-storey building, 85 C3 homes  of which 28 affordable""","""225sqm non-residential floorspace, A1, A3, B1""",,,,Y,,,2017-12-15,2018-12-15,2017-15-15
Old Oak & Park Royal Development Corporation,DCS5 (2017),https://data.london.gov.uk/,ETRS89,-0.239693756,51.52727159,3,not owned by a public authority,N,not permissioned,,,,,5300,,,,,,Yes,,,2017-12-15,2018-12-15,2017/11/11
Old Oak & Park Royal Development Corporation,DCS6 (2017),https://data.london.gov.uk/,ETRS89,-0.241982641,51.52997671,1.8,owned by a public authority,,not permissioned,,,,,F,,,,Sad,,No,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS7 (2017),data.london.gov.uk,ETRS89,-0.237369654,51.52921508,1.1,not owned by a public authority,,not permissioned,,,,,300,,,,,,N,,,2017-12-15,2018-12-15,12-12-15
Old Oak & Park Royal Development Corporation,DCS8 (2017,www.data.london.gov.uk,ETRS89,-0.235402349,51.52799272,0.2,not owned by a public authority,yes,permissioned,full planning permission,2017-03-01,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6044&Ver=4,,47,"""4-storey and 11-storey buildings, 47 C3 homes of which 15 affordable""","""165sqm commercial floorspace, A1, A2, A3""",,,Sad,Y,,,2017-12-15,2018-12-15,31-50-2014
Old Oak & Park Royal Development Corporation,DCS9 (2017,sfdsdf,ETRS89,-0.235433261,51.52719374,0.5,not owned by a public authority,yes,permissioned,full planning permission,2017-07-12,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6060&Ver=4,,200,"""19-storey building, 200 C3 homes of which 67 affordable""","""609 sqm flexible  non-residential, 514 sqm B1/artist studios workspace""",,Pdf,Pdf,Y,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS10 (2017),sdfsdf,ETRS89,-0.234355978,51.52664457,4,not owned by a public authority,yes,permissioned,full planning permission,2017-05-05,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6045&Ver=4,,F,"""6 to 20-storey buildings, 164  C3 homes of which 44 affordable""","""750 sqm commerical floorspace""",,,,N,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS11 (2017),https://data.london.gov.uk/,ETRS89,-0.234096972,51.52624096,0.1,not owned by a public authority,,not permissioned,,,,,100,,,,,Pdf,No,,,2017-12-15,2017-21-21,
Old Oak & Park Royal Development Corporation,DCS12 (2017),https://data.london.gov.uk/,ETRS89,-0.239968346,51.53144943,0.2,owned by a public authority,,not permissioned,,,,,100,,,,,,No,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS13 (2017),https://data.london.gov.uk/,ETRS89,-0.256047582,51.52496547,0,not owned by a public authority,,not permissioned,,,,,10,,,,,,Yes,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS15 (2017),https://data.london.gov.uk/,ETRS89,-0.248927717,51.52781459,5,owned by a public authority,,not permissioned,,,,,F,,,,,,Y,,,2017-21-21,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS16 (2017),https://data.london.gov.uk/,ETRS89,-0.249166036,51.52717098,1,not owned by a public authority,yes,permissioned,full planning permission,2016-07-13,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6033&Ver=4,,605,"""6 to 26-storey buildings, 601 C3 homes of which 242 affordable""","""3500 sqm commercial, A1, A2, A3, A4, B1, D1, D2""",,Pdf,,12,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS20/22 (2017),https://data.london.gov.uk/,ETRS89,-0.25077,51.52655,0.6,mixed ownership,,not permissioned,,,,,300,,,,,,,,,2017-12-15,2018-12-15,2017-21-21
Old Oak & Park Royal Development Corporation,DCS20/22 (2017),https://data.london.gov.uk/,ETRS89,-0.24598,51.52632,12.3,mixed ownership,,not permissioned,,,,,350,,,,,,,,,2017-21-21,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS19,https://data.london.gov.uk/,ETRS89,-0.233538598,51.52490019,0.2,not owned by a public authority,,not permissioned,,,,,50,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS21,https://data.london.gov.uk/,ETRS89,-0.23099097,51.52450013,0.9,not owned by a public authority,,not permissioned,,,,,200,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS22,https://data.london.gov.uk/,ETRS89,-0.231601407,51.52370989,0.4,not owned by a public authority,,not permissioned,,,,,D,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS23,https://data.london.gov.uk/,ETRS89,-0.2553384,51.52455998,3.5,not owned by a public authority,,not permissioned,,,,,1300,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS24,https://data.london.gov.uk/,ETRS89,-0.256649799,51.52378003,0.7,not owned by a public authority,,not permissioned,,,,,300,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS25,https://data.london.gov.uk/,ETRS89,-0.253385096,51.5253685,0.2,not owned by a public authority,,not permissioned,,,,,50,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS26,https://data.london.gov.uk/,ETRS89,-0.258666164,51.52291539,0.1,not owned by a public authority,yes,permissioned,full planning permission,2017-02-14,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?keyVal=O4SO8BJM02F00&activeTab=summary,,424,"""16 to 24-storey buildings comprising 424 student bed spaces""","""Commercial unit for flexible Use Classes A1, A2, A3, A5, B1 or D1 uses""",,,,,,,2017-12-15,2018-12-15,2017-21-21
Old Oak & Park Royal Development Corporation,DCS27,https://data.london.gov.uk/,ETRS89,-0.257500843,51.52226996,0.5,not owned by a public authority,yes,pending decision,,,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P589MSJM0E200,,250,"""3 No. buildings between 12 and 25 storeys in height, 380 residential units""","""1,403 sq.m of flexible A1/A2/A3/A4/A5/B1/D1/D2 use class floorspace, the provision of public open space, roof top amenity space, landspacing, car and cycle parking and refuse storage """,,,,,,Permission subject to s106,2017-12-15,2017-21-21,
Old Oak & Park Royal Development Corporation,DCS29,https://data.london.gov.uk/,ETRS89,-0.257257606,51.52064841,1.7,not owned by a public authority,,not permissioned,,,,,1100,,,,,,,,,2017-12-15,2018-12-15,
Old Oak & Park Royal Development Corporation,DCS30,https://data.london.gov.uk/,ETRS89,-0.262053285,51.52210907,0.6,not owned by a public authority,yes,permissioned,full planning permission,2017-02-14,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?keyVal=O4G865JM02A00&activeTab=summary,,D,"""Four buildings of 2, 9, 11, 32 and 42 storeys comprising 578 residential flats, 164 affordable""","""3179sqm (GIA) of flexible use class A1 and/or A2 and/or A3 and/or A4 and/or B1 and/or D1 and/or D2 floorspace""",,,,,,,2017-12-15,2018-12-15,
