reference,name,geometry,address-text,article-4-direction,article-4-direction-rules,notes,start-date,end-date,entry-date,Permitted-development-rights
A4BV,Brandy Vaults,"MultiPolygon (((-1.62066432 54.97038806, -1.62066759 54.97038101, -1.62066778 54.97038075, -1.6206681 54.97038055, -1.62066852 54.97038041, -1.62066898 54.97038034, -1.62066946 54.97038036, -1.62066958 54.97038038, -1.6206699 54.97038033, -1.62067041 54.97038035, -1.62069152 54.9703834, -1.62073905 54.97038995, -1.62073951 54.97039006, -1.62073989 54.97039025, -1.62074014 54.97039049, -1.62074025 54.97039077, -1.62074019 54.97039106, -1.62074018 54.97039108, -1.62074013 54.97039136, -1.62071673 54.97044112, -1.62083169 54.97045914, -1.62083213 54.97045925, -1.62083249 54.97045944, -1.62083274 54.97045968, -1.62083284 54.97045995, -1.62083279 54.97046023, -1.6208327 54.97046044, -1.62083266 54.97046064, -1.62080007 54.97053321, -1.62079997 54.97053334, -1.6207997 54.97053394, -1.620799 54.97053384, -1.62079864 54.97053388, -1.62079816 54.97053385, -1.62079659 54.97053361, -1.62079649 54.97053383, -1.62071552 54.97052117, -1.62067854 54.9705155, -1.62064044 54.97051041, -1.62050794 54.97049343, -1.62050751 54.97049333, -1.62050715 54.97049317, -1.6205035 54.97049096, -1.62050325 54.97049076, -1.6205031 54.97049053, -1.62050283 54.97048983, -1.62050135 54.97048941, -1.62050095 54.97048925, -1.62050066 54.97048902, -1.6205005 54.97048875, -1.62049608 54.97047376, -1.6204961 54.9704734, -1.6205112 54.97043666, -1.62053771 54.97037092, -1.6205379 54.97037066, -1.62053822 54.97037044, -1.62053864 54.97037029, -1.62053912 54.97037023, -1.62053961 54.97037025, -1.62066432 54.97038806),(-1.62051009 54.97049186, -1.62050862 54.97049145, -1.62050909 54.97049173, -1.62051009 54.97049186),(-1.62054069 54.97037274, -1.62051439 54.97043672, -1.6204997 54.97047314, -1.62050556 54.97048859, -1.6205188 54.9704923, -1.62064122 54.97050866, -1.6206756 54.97051307, -1.62067567 54.97051308, -1.62071721 54.97051957, -1.6207974 54.97053187, -1.6208292 54.97046104, -1.6207137 54.97044331, -1.62071326 54.97044319, -1.62071289 54.970443, -1.62071265 54.97044276, -1.62071255 54.97044248, -1.6207126 54.9704422, -1.62073661 54.97039177, -1.62069107 54.97038519, -1.62067122 54.97038246, -1.6206689 54.97038958, -1.62066872 54.97038986, -1.62066841 54.97039008, -1.62066798 54.97039024, -1.62066749 54.97039031, -1.62066698 54.97039029, -1.62066651 54.97039022, -1.62066643 54.97039033, -1.6206661 54.97039054, -1.62066569 54.97039068, -1.62066521 54.97039074, -1.62066473 54.97039071, -1.62054069 54.97037274)))",,A4BV,P2CC,The exterior of the building can not be painted for any purpose other than for advertisements. Covers historic locally listed public house Brandy Vaults (now Tilley's Bar),18/07/1991,,17/02/2023,test
A4DC,Dukes Cottages,"MultiPolygon (((-1.74324121 54.9832141, -1.74308782 54.98323642, -1.74305694 54.98322908, -1.74292168 54.98327407, -1.7427634 54.98318237, -1.7427507 54.98318962, -1.74264563 54.98312957, -1.74266537 54.98312152, -1.7424861 54.98301361, -1.74252278 54.98299347, -1.74249755 54.9829821, -1.74255966 54.98294342, -1.74264583 54.98287973, -1.74272761 54.9828419, -1.74307625 54.9830666, -1.74311684 54.98309498, -1.7431658 54.9831339, -1.74317975 54.98315172, -1.74324121 54.9832141)))",,A4DC,P1CA;P1CB;P1CC;P1CD;P1CE;P1CF;P1CH;P2CA;P2CB;P2CC,No enlargements or alterations shall not be carried out upon Dukes Cottages unless permission is granted on an application made to the Council in that behalf.,14/09/1983,,17/02/2023,test
A4HMO1,Jesmond and Heaton,"MultiPolygon (((-1.609947 55.003795, -1.609946 55.003795, -1.609946 55.003795, -1.609947 55.003795)),((-1.609946 55.003795, -1.609808 55.004125, -1.609722 55.004327, -1.609623 55.004557, -1.60953 55.004764, -1.609433 55.004982, -1.609357 55.005153, -1.609103 55.005121, -1.60861 55.005061, -1.608558 55.005179, -1.608481 55.005351, -1.60843 55.005476, -1.608336 55.005682, -1.608249 55.005881, -1.608182 55.006028, -1.608127 55.006164, -1.608099 55.006288, -1.608047 55.006399, -1.607964 55.006588, -1.607882 55.006777, -1.607846 55.006863, -1.607759 55.007042, -1.607605 55.007336, -1.607463 55.007549, -1.607364 55.007701, -1.607285 55.007804, -1.607164 55.00796, -1.607066 55.008067, -1.606943 55.008183, -1.606767 55.008349, -1.606573 55.008305, -1.606379 55.008264, -1.606354 55.00826, -1.606297 55.008253, -1.606284 55.008251, -1.606262 55.008246, -1.606092 55.008209, -1.605796 55.008154, -1.605492 55.008113, -1.605262 55.008082, -1.605248 55.008054, -1.605172 55.0079, -1.60484 55.007949, -1.604807 55.007952, -1.604779 55.007955, -1.604762 55.007956, -1.604746 55.007956, -1.604549 55.007941, -1.604519 55.007936, -1.604503 55.007931, -1.60449 55.007924, -1.60448 55.007919, -1.604477 55.007912, -1.604471 55.0079, -1.604489 55.00778, -1.604533 55.007564, -1.60458 55.007316, -1.604317 55.007224, -1.604317 55.007098, -1.604005 55.007092, -1.603565 55.00709, -1.603027 55.007086, -1.602626 55.007086, -1.602622 55.006836, -1.602922 55.006838, -1.603426 55.006843, -1.603488 55.006648, -1.60363 55.006647, -1.603988 55.00665, -1.604006 55.006334, -1.604138 55.006354, -1.604193 55.006316, -1.604324 55.006335, -1.604607 55.006375, -1.604656 55.006267, -1.604759 55.006035, -1.604868 55.005789, -1.604956 55.005579, -1.605044 55.005371, -1.605145 55.005134, -1.605195 55.00503, -1.60475 55.004966, -1.604785 55.004888, -1.604875 55.00468, -1.604936 55.004543, -1.605006 55.004387, -1.605076 55.004217, -1.605488 55.004257, -1.606048 55.004308, -1.606251 55.004321, -1.606358 55.004323, -1.606596 55.004329, -1.606798 55.004326, -1.606872 55.004322, -1.607088 55.004304, -1.607039 55.00417, -1.606966 55.003982, -1.606894 55.003795, -1.607291 55.003733, -1.607557 55.003692, -1.607799 55.003655, -1.608165 55.003599, -1.60839 55.003565, -1.608591 55.003531, -1.608583 55.003548, -1.608573 55.003572, -1.608573 55.003604, -1.608576 55.003631, -1.608582 55.003655, -1.608592 55.003694, -1.608642 55.003772, -1.608788 55.004008, -1.609908 55.003791, -1.609946 55.003795)),((-1.620461 55.010303, -1.616599 55.009821, -1.613368 55.009298, -1.61179799 55.0090744, -1.61139802 55.0077721, -1.61395684 55.00751366, -1.61527468 55.00749677, -1.615729 55.007468, -1.61806164 55.00718961, -1.61952423 55.00703352, -1.620461 55.010303)),((-1.610914 54.996661, -1.610893 54.996587, -1.610334 54.996625, -1.609521 54.996584, -1.608745 54.996543, -1.607602 54.996485, -1.606961 54.996455, -1.606356 54.99641, -1.605343 54.996354, -1.605322 54.99635, -1.605312 54.996343, -1.605303 54.996322, -1.605288 54.99609, -1.605302 54.995939, -1.605346 54.995627, -1.605354 54.995515, -1.605355 54.995469, -1.605348 54.995431, -1.605334 54.995358, -1.605315 54.995309, -1.605286 54.995252, -1.605243 54.995195, -1.605198 54.995149, -1.605124 54.995082, -1.605066 54.995037, -1.604987 54.994979, -1.6049 54.99494, -1.604479 54.99475, -1.603843 54.994463, -1.603535 54.994319, -1.603308 54.994189, -1.60316 54.99408, -1.603102 54.994021, -1.603052 54.993949, -1.603014 54.993868, -1.602988 54.993785, -1.602975 54.993691, -1.602976 54.993602, -1.602986 54.993559, -1.603124 54.993282, -1.603287 54.992911, -1.603401 54.992661, -1.60349 54.99247, -1.602731 54.992393, -1.602208 54.992412, -1.602194 54.992434, -1.60162 54.992437, -1.601624 54.992591, -1.601635 54.99264, -1.601683 54.992754, -1.601757 54.992794, -1.601577 54.992918, -1.601528 54.99294, -1.601509 54.992951, -1.601477 54.992956, -1.601434 54.99296, -1.601371 54.992953, -1.600934 54.992874, -1.600436 54.992792, -1.600407 54.992791, -1.600342 54.992794, -1.600316 54.992794, -1.600282 54.992788, -1.599862 54.992717, -1.599352 54.992627, -1.59928 54.992578, -1.598778 54.992497, -1.598618 54.992468, -1.598432 54.992443, -1.59808 54.992396, -1.597874 54.992383, -1.597727 54.992374, -1.597642 54.992365, -1.59755 54.992349, -1.597338 54.992308, -1.597123 54.992276, -1.596606 54.992223, -1.596572 54.992216, -1.596464 54.992173, -1.596236 54.992156, -1.596077 54.992153, -1.595784 54.992138, -1.595564 54.992138, -1.59553 54.992136, -1.595504 54.992129, -1.59548 54.992119, -1.595458 54.992095, -1.595411 54.991977, -1.59539 54.991915, -1.595371 54.991835, -1.595362 54.991779, -1.595363 54.991712, -1.595374 54.991537, -1.595402 54.991223, -1.59541 54.991142, -1.595403 54.991105, -1.595375 54.991009, -1.595304 54.990869, -1.595273 54.990795, -1.595257 54.990734, -1.595257 54.990667, -1.595258 54.990606, -1.595263 54.990558, -1.595263 54.990527, -1.595264 54.990501, -1.595264 54.99048, -1.595254 54.990455, -1.59511 54.990158, -1.594941 54.989832, -1.594925 54.989804, -1.594894 54.989786, -1.594845 54.989768, -1.594768 54.989746, -1.594727 54.989737, -1.594679 54.989728, -1.594638 54.989722, -1.59459 54.989715, -1.594536 54.989705, -1.594462 54.989691, -1.59443 54.989681, -1.5943 54.989607, -1.593836 54.989322, -1.593414 54.989035, -1.59332 54.988957, -1.593255 54.98889, -1.593224 54.988853, -1.593198 54.988801, -1.593182 54.98874, -1.593175 54.988688, -1.593173 54.988633, -1.593181 54.988572, -1.593196 54.988512, -1.593231 54.98844, -1.593256 54.988384, -1.593288 54.988323, -1.59331 54.98829, -1.593364 54.98824, -1.593535 54.988076, -1.59361 54.988013, -1.59364 54.987976, -1.593652 54.987946, -1.593645 54.987924, -1.593606 54.987904, -1.593556 54.987898, -1.592873 54.987943, -1.591995 54.988002, -1.59115 54.988054, -1.590869 54.98807, -1.59077 54.988075, -1.590736 54.988071, -1.590702 54.988065, -1.590678 54.988056, -1.590662 54.988042, -1.59064 54.988023, -1.590451 54.987825, -1.59024 54.987601, -1.590066 54.987418, -1.58985 54.987182, -1.589791 54.987108, -1.589705 54.986986, -1.589531 54.986721, -1.589488 54.986645, -1.589469 54.986601, -1.589437 54.986462, -1.589408 54.986242, -1.589399 54.98617, -1.589403 54.985951, -1.589414 54.985604, -1.589414 54.985373, -1.589422 54.985348, -1.589451 54.985307, -1.589635 54.985067, -1.589662 54.985051, -1.589688 54.985038, -1.589754 54.98503, -1.590514 54.984986, -1.591189 54.984945, -1.591206 54.984936, -1.591213 54.984924, -1.591161 54.984821, -1.590985 54.984495, -1.590969 54.984473, -1.590873 54.984421, -1.590866 54.984392, -1.590854 54.984364, -1.590832 54.984334, -1.590799 54.984313, -1.590428 54.984155, -1.59038 54.984121, -1.590351 54.984087, -1.590339 54.984055, -1.590337 54.984024, -1.590342 54.983998, -1.590395 54.983775, -1.590406 54.983734, -1.590406 54.983713, -1.590406 54.983675, -1.590378 54.983633, -1.590313 54.98355, -1.590299 54.983518, -1.590297 54.983488, -1.5903 54.983417, -1.590308 54.983338, -1.590323 54.983259, -1.590397 54.982889, -1.590405 54.982853, -1.590405 54.982836, -1.590395 54.98282, -1.590201 54.982459, -1.590134 54.982342, -1.589955 54.982169, -1.589507 54.981756, -1.589397 54.98165, -1.58914 54.981415, -1.588937 54.981222, -1.5885 54.981324, -1.588381 54.981354, -1.588321 54.981368, -1.588144 54.981401, -1.588016 54.981431, -1.587972 54.981396, -1.587459 54.981491, -1.587054 54.981561, -1.586652 54.981629, -1.586332 54.981673, -1.585938 54.981712, -1.585384 54.98176, -1.58489 54.981791, -1.584442 54.981815, -1.584261 54.981849, -1.584264 54.981942, -1.5842 54.982279, -1.584139 54.98257, -1.58407 54.982923, -1.584058 54.982973, -1.584058 54.982983, -1.584059 54.983125, -1.584064 54.983288, -1.584076 54.983342, -1.584092 54.983416, -1.584109 54.983438, -1.584123 54.983487, -1.584198 54.983654, -1.584215 54.983678, -1.583777 54.983724, -1.582886 54.983818, -1.582361 54.983877, -1.581857 54.98393, -1.581859 54.983953, -1.581886 54.984194, -1.581929 54.984442, -1.58194 54.984506, -1.581955 54.984546, -1.581995 54.984613, -1.582081 54.984747, -1.582102 54.98479, -1.582125 54.984869, -1.582169 54.98507, -1.582199 54.985197, -1.582203 54.985284, -1.582216 54.985419, -1.5822 54.985597, -1.582181 54.985786, -1.582158 54.985867, -1.582122 54.985929, -1.582065 54.986015, -1.581906 54.986191, -1.581825 54.986298, -1.581776 54.98633, -1.58174 54.986348, -1.581711 54.986377, -1.581666 54.986477, -1.581641 54.986603, -1.58163 54.98671, -1.581588 54.987228, -1.581561 54.987774, -1.581553 54.988063, -1.581583 54.98821, -1.581658 54.988416, -1.581884 54.988761, -1.582239 54.989265, -1.582697 54.989903, -1.583182 54.99052, -1.583614 54.991086, -1.583664 54.991153, -1.583664 54.991162, -1.583649 54.991173, -1.583634 54.991185, -1.583171 54.991336, -1.582477 54.991578, -1.581947 54.991743, -1.581292 54.991941, -1.580729 54.992115, -1.57963 54.992485, -1.579188 54.992613, -1.579095 54.992231, -1.579047 54.992024, -1.578781 54.992031, -1.578502 54.992033, -1.578342 54.991613, -1.578269 54.991412, -1.578107 54.99099, -1.578088 54.99098, -1.578042 54.990979, -1.577186 54.990976, -1.575952 54.990972, -1.574716 54.990967, -1.574556 54.990971, -1.574331 54.990978, -1.57431 54.990969, -1.574293 54.990942, -1.574238 54.990692, -1.574199 54.990452, -1.57419 54.990427, -1.574168 54.99042, -1.574112 54.990413, -1.574059 54.990411, -1.5735 54.990418, -1.572545 54.990416, -1.571541 54.990417, -1.570683 54.990416, -1.570666 54.990409, -1.570654 54.990391, -1.570617 54.990212, -1.570552 54.989764, -1.57047 54.989253, -1.570388 54.988773, -1.570327 54.988387, -1.570275 54.988046, -1.570198 54.987573, -1.570113 54.987102, -1.570086 54.986919, -1.570086 54.986908, -1.570077 54.986901, -1.57006 54.986898, -1.569994 54.986899, -1.569312 54.986939, -1.568477 54.986984, -1.568124 54.987, -1.568109 54.986993, -1.568114 54.986978, -1.568119 54.986964, -1.568417 54.986689, -1.56871 54.986425, -1.569091 54.986087, -1.569323 54.985885, -1.569455 54.985771, -1.569701 54.985592, -1.569837 54.985533, -1.570533 54.985417, -1.571335 54.985285, -1.572246 54.985134, -1.573115 54.985009, -1.574035 54.984889, -1.574777 54.984788, -1.574593 54.984338, -1.574418 54.983904, -1.574383 54.983804, -1.574381 54.983786, -1.574386 54.983777, -1.574412 54.983768, -1.574446 54.983761, -1.574785 54.983712, -1.574701 54.983507, -1.575735 54.983377, -1.575586 54.982994, -1.57545 54.982648, -1.575306 54.982267, -1.575283 54.982212, -1.575266 54.982177, -1.575216 54.98212, -1.575214 54.982106, -1.575248 54.982089, -1.575869 54.981883, -1.576517 54.981669, -1.577356 54.981396, -1.578283 54.981091, -1.579031 54.980845, -1.579433 54.980714, -1.579834 54.980592, -1.580171 54.980503, -1.580571 54.980383, -1.580743 54.980331, -1.581893 54.97999, -1.582237 54.979889, -1.582342 54.979851, -1.582706 54.979713, -1.583393 54.979448, -1.583784 54.979301, -1.584153 54.979178, -1.584602 54.97903, -1.585211 54.978832, -1.585703 54.978673, -1.586152 54.978522, -1.586613 54.978363, -1.587047 54.97822, -1.587314 54.978131, -1.58778 54.977977, -1.588037 54.977894, -1.588872 54.977648, -1.589335 54.977517, -1.589902 54.977357, -1.590268 54.977256, -1.590702 54.977138, -1.591287 54.976979, -1.591563 54.977461, -1.591793 54.977935, -1.592403 54.978578, -1.592986 54.97902, -1.594155 54.979547, -1.594739 54.979904, -1.595118 54.980192, -1.596489 54.981058, -1.597768 54.98021, -1.598062 54.980289, -1.59954 54.979948, -1.600081 54.980124, -1.600465 54.979939, -1.599096 54.97882, -1.598838 54.978178, -1.598641 54.977349, -1.598354 54.97669, -1.598797 54.976404, -1.59924 54.976118, -1.599479 54.975731, -1.599542 54.975316, -1.59998 54.975281, -1.600669 54.975233, -1.601374 54.975188, -1.601533 54.975178, -1.601508 54.975045, -1.601644 54.975036, -1.601963 54.975025, -1.602644 54.975005, -1.603115 54.974997, -1.603268 54.975004, -1.603316 54.975012, -1.603376 54.97503, -1.60341 54.975059, -1.603422 54.97509, -1.603419 54.975127, -1.60339 54.975154, -1.603368 54.975165, -1.603307 54.975184, -1.603256 54.975196, -1.603193 54.975202, -1.60315 54.975211, -1.603121 54.975228, -1.603089 54.975247, -1.603018 54.975304, -1.603129 54.975364, -1.603162 54.975388, -1.603169 54.97541, -1.603221 54.975562, -1.603346 54.97592, -1.603388 54.97603, -1.603393 54.976051, -1.603393 54.97607, -1.603392 54.976129, -1.603363 54.976347, -1.603332 54.976576, -1.603265 54.976982, -1.603215 54.977401, -1.603148 54.977819, -1.603153 54.977861, -1.603152 54.977879, -1.603162 54.977893, -1.603171 54.977907, -1.603186 54.977915, -1.603198 54.977921, -1.603212 54.977924, -1.603244 54.977926, -1.603497 54.977955, -1.603514 54.977964, -1.603524 54.977973, -1.603536 54.977986, -1.603536 54.977996, -1.60354 54.978007, -1.603538 54.978026, -1.603395 54.978336, -1.603293 54.978543, -1.603098 54.978964, -1.602999 54.979176, -1.603499 54.979242, -1.603514 54.979251, -1.603531 54.979264, -1.603538 54.979279, -1.603609 54.979598, -1.60371 54.979963, -1.60371 54.97997, -1.603787 54.979969, -1.603855 54.980162, -1.60403 54.980626, -1.604101 54.980798, -1.60388 54.98082, -1.603944 54.980981, -1.603974 54.981103, -1.604094 54.981423, -1.604118 54.981474, -1.604177 54.981676, -1.604329 54.982176, -1.604458 54.982589, -1.604458 54.982617, -1.604443 54.982633, -1.604431 54.982656, -1.604428 54.982676, -1.604527 54.982968, -1.604635 54.983306, -1.60478 54.983806, -1.6056 54.983722, -1.605589 54.983688, -1.605574 54.983647, -1.60556 54.983589, -1.605551 54.983547, -1.605556 54.983501, -1.605567 54.983453, -1.605591 54.983418, -1.605625 54.983385, -1.605669 54.983354, -1.605742 54.983313, -1.605791 54.983296, -1.605893 54.983256, -1.605968 54.983231, -1.606043 54.983212, -1.606096 54.983198, -1.606167 54.983186, -1.606244 54.983175, -1.606314 54.98317, -1.606404 54.983167, -1.60651 54.983166, -1.6066 54.983168, -1.606689 54.98317, -1.606752 54.983173, -1.606817 54.983178, -1.60689 54.983184, -1.606928 54.983202, -1.606964 54.983229, -1.606988 54.983258, -1.607065 54.983512, -1.607185 54.983899, -1.607295 54.984277, -1.607408 54.984625, -1.608006 54.984558, -1.608831 54.984464, -1.609819 54.984355, -1.609786 54.984042, -1.609883 54.983976, -1.609831 54.983583, -1.610506 54.983562, -1.610743 54.983555, -1.610752 54.98319, -1.610753 54.983067, -1.610756 54.983045, -1.610756 54.983034, -1.610761 54.983021, -1.610773 54.983008, -1.610787 54.982991, -1.610814 54.982983, -1.610846 54.982977, -1.611291 54.982959, -1.611337 54.982959, -1.611363 54.982959, -1.611385 54.982961, -1.611402 54.982964, -1.611416 54.982968, -1.61145 54.982981, -1.611465 54.98299, -1.611481 54.983007, -1.611498 54.983031, -1.611502 54.983178, -1.611509 54.983639, -1.611514 54.984134, -1.611526 54.984639, -1.611534 54.984776, -1.611532 54.984797, -1.611532 54.984817, -1.611531 54.984844, -1.61148 54.985164, -1.611451 54.985363, -1.611441 54.985423, -1.611443 54.985446, -1.611455 54.985463, -1.611612 54.985553, -1.611628 54.985565, -1.611635 54.985583, -1.61168 54.985939, -1.611709 54.986227, -1.611699 54.986252, -1.611694 54.986264, -1.611699 54.986314, -1.611732 54.986578, -1.611806 54.987168, -1.611822 54.987288, -1.611817 54.987315, -1.611802 54.987329, -1.611841 54.987352, -1.611848 54.987366, -1.61185 54.987382, -1.611843 54.987403, -1.61184 54.987421, -1.611845 54.987461, -1.611846 54.98757, -1.611845 54.98767, -1.611842 54.987709, -1.611835 54.987755, -1.611832 54.987784, -1.611832 54.987815, -1.611843 54.987862, -1.611852 54.987915, -1.611852 54.98794, -1.611845 54.987969, -1.611847 54.988, -1.611846 54.98804, -1.611856 54.988062, -1.611877 54.98809, -1.611894 54.988138, -1.611913 54.988177, -1.611982 54.988303, -1.611973 54.98848, -1.611952 54.988633, -1.611931 54.988757, -1.61193 54.988862, -1.611938 54.989047, -1.611942 54.989177, -1.611973 54.98923, -1.611973 54.989246, -1.612011 54.989321, -1.612012 54.989381, -1.612005 54.989429, -1.611976 54.98943, -1.612014 54.989676, -1.612033 54.989765, -1.61202 54.99007, -1.612044 54.990082, -1.612004 54.990282, -1.612038 54.990466, -1.612082 54.990669, -1.612084 54.990693, -1.612192 54.990874, -1.612227 54.990924, -1.612416 54.9912, -1.61243 54.991235, -1.612415 54.991509, -1.612399 54.991887, -1.612396 54.992211, -1.612396 54.992238, -1.612405 54.992328, -1.612445 54.992679, -1.612456 54.992764, -1.612463 54.992798, -1.612529 54.99296, -1.612683 54.993335, -1.612693 54.993361, -1.612687 54.993394, -1.612672 54.993462, -1.612552 54.993922, -1.612439 54.994331, -1.612406 54.994466, -1.612403 54.994506, -1.612365 54.994957, -1.612325 54.995354, -1.612303 54.995656, -1.61225 54.996315, -1.612235 54.99661, -1.612241 54.996789, -1.612255 54.997117, -1.612252 54.99718, -1.612237 54.997204, -1.61221 54.997226, -1.612179 54.99724, -1.612142 54.997253, -1.612101 54.99726, -1.612043 54.997264, -1.611859 54.997276, -1.611839 54.997284, -1.611832 54.997295, -1.611832 54.997319, -1.611845 54.997697, -1.611843 54.997721, -1.611813 54.997734, -1.611391 54.997894, -1.611367 54.997898, -1.611345 54.997898, -1.611326 54.997897, -1.611309 54.997895, -1.611284 54.997889, -1.611272 54.997879, -1.611237 54.997843, -1.611215 54.997814, -1.611208 54.997797, -1.61118 54.997723, -1.61113 54.99756, -1.611069 54.997357, -1.610999 54.997138, -1.610973 54.997073, -1.610969 54.997008, -1.610956 54.996875, -1.610914 54.996661)),((-1.611365 55.001753, -1.611367 55.001775, -1.611346 55.001785, -1.611326 55.001787, -1.611298 55.001788, -1.611009 55.001748, -1.61077 55.001707, -1.610737 55.001763, -1.6103 55.0017, -1.610377 55.001529, -1.610452 55.001363, -1.610562 55.001136, -1.610643 55.000952, -1.610718 55.000794, -1.610804 55.000596, -1.610862 55.000477, -1.61092 55.000367, -1.610281 55.00028, -1.609713 55.000202, -1.609148 55.000126, -1.609233 54.999924, -1.609322 54.999703, -1.609403 54.999523, -1.609463 54.999376, -1.609561 54.999151, -1.609654 54.998928, -1.609746 54.998688, -1.610512 54.998776, -1.61099 54.998831, -1.611381 54.99887, -1.611844 54.998917, -1.612535 54.998991, -1.612724 54.999014, -1.612894 54.999041, -1.613108 54.999079, -1.613303 54.999112, -1.613438 54.999127, -1.614062 54.999192, -1.614761 54.999269, -1.615265 54.999319, -1.615332 54.999326, -1.615392 54.999339, -1.615468 54.999356, -1.615601 54.999412, -1.61585 54.999532, -1.615918 54.999571, -1.61595 54.999598, -1.615966 54.999629, -1.615971 54.999653, -1.615977 54.999683, -1.615974 54.999702, -1.615968 54.999727, -1.615888 54.999881, -1.615776 55.000123, -1.615681 55.000329, -1.615669 55.000356, -1.615652 55.000371, -1.615625 55.000387, -1.61559 55.000399, -1.615467 55.00045, -1.615366 55.000489, -1.615328 55.0005, -1.615286 55.000514, -1.615115 55.000553, -1.615022 55.00057, -1.614853 55.000589, -1.614714 55.0006, -1.614604 55.000606, -1.614524 55.000604, -1.61419 55.000569, -1.613789 55.000521, -1.613629 55.00051, -1.613553 55.00051, -1.61347 55.000513, -1.61326 55.000534, -1.613152 55.00055, -1.613027 55.000577, -1.612885 55.000615, -1.612762 55.000647, -1.612727 55.000653, -1.61269 55.000656, -1.612646 55.000656, -1.612601 55.000656, -1.612531 55.000646, -1.612516 55.000645, -1.612464 55.000775, -1.612403 55.000955, -1.61225 55.000929, -1.61215 55.00099, -1.611638 55.000911, -1.611512 55.001191, -1.611484 55.001256, -1.61146 55.001323, -1.611407 55.00151, -1.611387 55.001598, -1.61137 55.001695, -1.611365 55.001753)),((-1.63286 54.982666, -1.632954 54.982712, -1.633086 54.982785, -1.633184 54.982864, -1.633303 54.982978, -1.63335 54.983025, -1.633393 54.983023, -1.633437 54.983019, -1.633467 54.983012, -1.633526 54.983066, -1.63362 54.983172, -1.633649 54.983216, -1.633689 54.983278, -1.633734 54.983365, -1.633801 54.983502, -1.633829 54.983554, -1.63384 54.983588, -1.633912 54.983792, -1.633945 54.98393, -1.634013 54.984171, -1.634075 54.984415, -1.634117 54.984569, -1.634159 54.984713, -1.634189 54.984834, -1.634196 54.98486, -1.634212 54.984985, -1.634257 54.985253, -1.634272 54.985443, -1.634261 54.985444, -1.634269 54.985654, -1.634267 54.985807, -1.634268 54.985907, -1.634255 54.985931, -1.634224 54.985944, -1.634194 54.985958, -1.63416 54.985961, -1.634131 54.985964, -1.634078 54.985964, -1.634048 54.985962, -1.634021 54.985959, -1.633925 54.985933, -1.633499 54.985815, -1.632927 54.98566, -1.632859 54.985641, -1.632606 54.9859, -1.632317 54.986201, -1.632258 54.986264, -1.631787 54.986115, -1.631208 54.98593, -1.630844 54.985819, -1.630385 54.985673, -1.629768 54.985481, -1.629146 54.985282, -1.628639 54.985124, -1.627723 54.984841, -1.627226 54.984677, -1.626628 54.984469, -1.626114 54.984291, -1.625593 54.98412, -1.625179 54.983992, -1.624515 54.983811, -1.62389 54.983657, -1.623188 54.983471, -1.622806 54.983373, -1.622959 54.983104, -1.62298 54.983079, -1.623661 54.983265, -1.62376 54.983242, -1.623854 54.983065, -1.623981 54.982829, -1.624343 54.982955, -1.624451 54.98296, -1.624734 54.983041, -1.625418 54.983254, -1.625847 54.983379, -1.626032 54.983418, -1.626087 54.983415, -1.626379 54.983332, -1.626399 54.983315, -1.626479 54.983187, -1.626535 54.983089, -1.626724 54.983011, -1.62702 54.983025, -1.627355 54.982934, -1.627615 54.983102, -1.628132 54.983423, -1.628401 54.983595, -1.628599 54.983521, -1.62866 54.983484, -1.628712 54.983427, -1.628758 54.983361, -1.628817 54.983255, -1.628954 54.982974, -1.629052 54.982782, -1.629193 54.9825, -1.629287 54.98232, -1.629464 54.981993, -1.629464 54.981898, -1.629616 54.981576, -1.629749 54.98129, -1.629769 54.981289, -1.62982 54.981187, -1.629829 54.981176, -1.629839 54.981165, -1.629848 54.981156, -1.629859 54.981149, -1.629882 54.981137, -1.629895 54.981132, -1.629913 54.981126, -1.629943 54.981118, -1.629958 54.981115, -1.629988 54.98111, -1.630014 54.981108, -1.630031 54.981107, -1.630059 54.981107, -1.630089 54.981108, -1.63012 54.98111, -1.630147 54.981114, -1.630178 54.98112, -1.6302 54.981125, -1.630435 54.981055, -1.630548 54.981176, -1.630667 54.981302, -1.630671 54.981301, -1.630739 54.981377, -1.630743 54.981383, -1.630763 54.981411, -1.630779 54.981432, -1.630793 54.981486, -1.6308 54.981524, -1.630732 54.981567, -1.630768 54.981618, -1.630788 54.981664, -1.630834 54.981765, -1.630875 54.98185, -1.63091 54.981914, -1.630962 54.982004, -1.631022 54.982107, -1.631061 54.982165, -1.631133 54.982263, -1.631236 54.982386, -1.631353 54.982513, -1.63146 54.982631, -1.631595 54.982779, -1.631698 54.982887, -1.631746 54.982937, -1.632026 54.982868, -1.632351 54.982789, -1.632627 54.982723, -1.632773 54.982687, -1.63286 54.982666)))",,A4HMO1,P3CL,"In certain areas of Newcastle, planning permission is required for to turn a house into a HMO (a house in multiple occupation ).",25/11/2011,,17/02/2023,test
