feature-id,listed-building-grade,notes,start-date,end-date,entry-date
136,II,,1965-04-30,,2024-01-01
137,II,,1966-11-28,,2024-01-01
138,II,,1966-11-28,,2024-01-01
139,II,,1966-11-28,,2024-01-01
140,II,,1966-12-20,,2024-01-01
141,II,,1970-12-11,,2024-01-01
142,II,,1970-12-11,,2024-01-01
143,II,,1970-12-11,,2024-01-01
144,II,,1970-12-11,,2024-01-01
145,II,,1970-12-11,,2024-01-01
146,II,,1970-12-11,,2024-01-01
147,II,,1970-12-11,,2024-01-01
148,II,,1970-12-11,,2024-01-01
149,II,,1970-12-11,,2024-01-01
150,II,,1970-12-11,,2024-01-01
151,II,,1970-12-11,,2024-01-01
152,II,,1970-12-11,,2024-01-01
153,II,,1970-12-11,,2024-01-01
154,II,,1970-12-11,,2024-01-01
155,II*,,1971-06-04,,2024-01-01
156,II,,1971-08-06,,2024-01-01
157,II,,1972-10-26,,2024-01-01
158,II,,1973-02-21,,2024-01-01
159,II,,1973-02-21,,2024-01-01
160,II,,1973-02-21,,2024-01-01
161,II,,1973-02-21,,2024-01-01
162,II,,1973-02-21,,2024-01-01
163,II,,1973-02-21,,2024-01-01
164,II,,1973-08-09,,2024-01-01
165,II,,1973-08-09,,2024-01-01
166,II,,1973-08-09,,2024-01-01
167,II,,1973-08-09,,2024-01-01
168,II,,1973-08-09,,2024-01-01
169,II,,1973-08-09,,2024-01-01
170,II,,1973-08-09,,2024-01-01
171,II,,1973-08-09,,2024-01-01
172,II,,1973-08-09,,2024-01-01
173,II,,1973-08-09,,2024-01-01
174,II,,1973-08-09,,2024-01-01
175,II,,1973-08-09,,2024-01-01
176,II,,1973-08-09,,2024-01-01
177,II,,1973-08-09,,2024-01-01
178,II,,1973-08-09,,2024-01-01
179,II,,1974-05-14,,2024-01-01
180,II,,1974-05-14,,2024-01-01
181,II,,1974-05-14,,2024-01-01
182,II,,1974-05-14,,2024-01-01
183,II,,1974-08-08,,2024-01-01
184,II,,1974-11-01,,2024-01-01
185,II,,1974-11-15,,2024-01-01
186,II,,1974-12-16,,2024-01-01
187,II,,1974-12-16,,2024-01-01
188,II,,1975-02-14,,2024-01-01
189,II,,1975-04-08,,2024-01-01
190,II,,1976-03-25,,2024-01-01
191,II,,1976-03-25,,2024-01-01
192,II,,1976-05-18,,2024-01-01
193,II,,1978-02-17,,2024-01-01
194,II,,1979-02-20,,2024-01-01
195,II,,1979-02-20,,2024-01-01
196,II,,1979-04-18,,2024-01-01
197,II,,1980-12-31,,2024-01-01
198,II,,1981-03-19,,2024-01-01
199,II,,1981-03-19,,2024-01-01
200,II,,1981-09-03,,2024-01-01
201,II,,1981-09-03,,2024-01-01
202,II,,1981-11-20,,2024-01-01
203,II,,1981-11-20,,2024-01-01
204,II,,1982-02-05,,2024-01-01
205,II,,1982-02-23,,2024-01-01
206,II,,1982-02-23,,2024-01-01
207,II,,1982-02-23,,2024-01-01
208,II,,1982-02-23,,2024-01-01
209,II,,1982-07-09,,2024-01-01
210,II,,1982-09-17,,2024-01-01
211,II,,1982-09-17,,2024-01-01
212,II,,1982-09-17,,2024-01-01
213,II,,1982-11-02,,2024-01-01
214,II,,1982-11-02,,2024-01-01
215,II,,1983-01-24,,2024-01-01
216,II,,1983-04-07,,2024-01-01
217,II,,1983-04-07,,2024-01-01
218,II,,1983-04-07,,2024-01-01
219,II,,1983-04-07,,2024-01-01
220,II,,1983-04-07,,2024-01-01
221,II,,1983-04-07,,2024-01-01
222,II,,1983-04-07,,2024-01-01
223,II,,1983-04-07,,2024-01-01
224,II,,1983-04-07,,2024-01-01
225,II,,1983-04-07,,2024-01-01
226,II,,1983-04-07,,2024-01-01
227,II,,1983-04-07,,2024-01-01
228,II,,1983-04-07,,2024-01-01
229,II,,1983-04-07,,2024-01-01
230,II,,1983-04-07,,2024-01-01
231,II,,1983-04-07,,2024-01-01
232,II,,1983-04-07,,2024-01-01
233,II,,1983-04-07,,2024-01-01
234,II,,1983-04-07,,2024-01-01
235,II,,1983-04-07,,2024-01-01
236,II,,1983-04-07,,2024-01-01
237,II,,1983-04-07,,2024-01-01
238,II,,1983-04-07,,2024-01-01
239,II,,1983-04-07,,2024-01-01
240,II,,1983-04-07,,2024-01-01
241,II,,1983-04-07,,2024-01-01
242,II,,1983-04-07,,2024-01-01
243,II,,1983-04-07,,2024-01-01
244,II,,1983-04-07,,2024-01-01
245,II,,1983-04-07,,2024-01-01
246,II,,1983-04-07,,2024-01-01
247,II,,1983-04-07,,2024-01-01
248,II,,1983-04-07,,2024-01-01
249,II,,1983-04-07,,2024-01-01
250,II,,1983-04-07,,2024-01-01
251,II,,1983-04-07,,2024-01-01
252,II,,1983-04-07,,2024-01-01
253,II,,1983-04-07,,2024-01-01
254,II,,1983-04-07,,2024-01-01
255,II,,1983-04-07,,2024-01-01
256,II,,1983-04-07,,2024-01-01
257,II,,1983-04-07,,2024-01-01
258,II,,1983-04-07,,2024-01-01
259,II,,1983-04-07,,2024-01-01
260,II,,1983-04-07,,2024-01-01
261,II,,1983-04-07,,2024-01-01
262,II,,1983-04-07,,2024-01-01
263,II,,1983-04-07,,2024-01-01
264,II,,1983-04-07,,2024-01-01
265,II,,1983-04-07,,2024-01-01
266,II,,1983-04-07,,2024-01-01
267,II,,1983-04-07,,2024-01-01
268,II,,1983-04-07,,2024-01-01
269,II,,1983-04-07,,2024-01-01
270,II,,1983-04-07,,2024-01-01
271,II,,1983-04-07,,2024-01-01
272,II,,1983-04-07,,2024-01-01
273,II,,1983-04-07,,2024-01-01
274,II,,1983-04-07,,2024-01-01
275,II,,1983-04-07,,2024-01-01
276,II,,1983-04-07,,2024-01-01
277,II,,1983-04-07,,2024-01-01
278,II,,1983-04-07,,2024-01-01
279,II,,1983-04-07,,2024-01-01
280,II,,1983-04-07,,2024-01-01
281,II,,1983-04-07,,2024-01-01
282,II,,1983-04-07,,2024-01-01
283,II,,1983-04-07,,2024-01-01
284,II,,1983-04-07,,2024-01-01
285,II,,1983-04-07,,2024-01-01
286,II,,1983-04-07,,2024-01-01
287,II,,1983-04-07,,2024-01-01
288,II,,1983-04-07,,2024-01-01
289,II,,1983-04-07,,2024-01-01
290,II,,1983-04-07,,2024-01-01
291,II,,1983-04-07,,2024-01-01
292,II,,1983-04-07,,2024-01-01
293,II,,1983-04-07,,2024-01-01
294,II,,1983-04-07,,2024-01-01
295,II,,1983-04-07,,2024-01-01
296,II,,1983-04-07,,2024-01-01
297,II,,1983-04-07,,2024-01-01
298,II,,1983-04-07,,2024-01-01
299,II,,1983-04-07,,2024-01-01
300,II,,1983-04-07,,2024-01-01
301,II,,1983-04-07,,2024-01-01
302,II,,1983-04-07,,2024-01-01
303,II,,1983-04-07,,2024-01-01
304,II,,1983-04-07,,2024-01-01
305,II,,1983-04-07,,2024-01-01
306,II,,1983-04-07,,2024-01-01
307,II,,1983-04-07,,2024-01-01
308,II,,1983-04-07,,2024-01-01
309,II,,1983-04-07,,2024-01-01
310,II,,1983-04-07,,2024-01-01
311,II,,1983-04-07,,2024-01-01
312,II,,1983-04-07,,2024-01-01
313,II,,1983-04-07,,2024-01-01
314,II,,1983-04-07,,2024-01-01
315,II,,1983-04-07,,2024-01-01
316,II,,1983-04-07,,2024-01-01
317,II,,1983-04-07,,2024-01-01
318,II,,1983-04-07,,2024-01-01
319,II,,1983-04-07,,2024-01-01
320,II,,1983-04-07,,2024-01-01
321,II,,1983-04-07,,2024-01-01
322,II,,1983-04-07,,2024-01-01
323,II,,1983-04-07,,2024-01-01
324,II,,1983-04-07,,2024-01-01
325,II,,1983-04-07,,2024-01-01
326,II,,1983-04-07,,2024-01-01
327,II,,1983-04-07,,2024-01-01
328,II,,1983-04-07,,2024-01-01
329,II,,1983-04-07,,2024-01-01
330,II,,1983-04-07,,2024-01-01
331,II,,1983-04-07,,2024-01-01
332,II,,1983-04-07,,2024-01-01
333,II,,1983-04-07,,2024-01-01
334,II,,1983-04-07,,2024-01-01
335,II,,1983-04-07,,2024-01-01
336,II,,1983-04-17,,2024-01-01
337,II,,1983-05-07,,2024-01-01
338,II,,1983-05-17,,2024-01-01
339,II,,1983-05-17,,2024-01-01
340,II,,1983-05-17,,2024-01-01
341,II,,1983-05-17,,2024-01-01
342,II,,1983-05-17,,2024-01-01
343,II,,1983-05-17,,2024-01-01
344,II,,1983-05-17,,2024-01-01
345,II,,1983-05-17,,2024-01-01
346,II,,1983-05-17,,2024-01-01
347,II,,1983-05-17,,2024-01-01
348,II,,1983-05-17,,2024-01-01
349,II,,1983-05-17,,2024-01-01
350,II,,1983-05-17,,2024-01-01
351,I,,1983-05-17,,2024-01-01
352,II,,1983-05-17,,2024-01-01
353,II,,1983-05-17,,2024-01-01
354,II,,1983-05-17,,2024-01-01
355,II,,1983-08-24,,2024-01-01
356,II,,1985-03-21,,2024-01-01
357,II*,,1985-07-19,,2024-01-01
358,II,,1985-10-13,,2024-01-01
359,II,,1986-01-15,,2024-01-01
360,II,,1986-01-15,,2024-01-01
361,II,,1986-01-15,,2024-01-01
362,II,,1987-01-22,,2024-01-01
363,II,,1987-01-22,,2024-01-01
364,II,,1987-05-12,,2024-01-01
365,II,,1987-06-22,,2024-01-01
366,II,,1987-06-22,,2024-01-01
367,II,,1987-06-22,,2024-01-01
368,II,,1987-06-22,,2024-01-01
369,II,,1987-06-22,,2024-01-01
370,II,,1987-07-22,,2024-01-01
371,II,,1988-02-08,,2024-01-01
372,II,,1988-02-08,,2024-01-01
373,II,,1988-03-22,,2024-01-01
374,II,,1988-04-20,,2024-01-01
375,II,,1988-05-19,,2024-01-01
376,II,,1988-11-23,,2024-01-01
377,II,,1988-11-23,,2024-01-01
378,II,,1989-05-18,,2024-01-01
379,II,,1989-09-26,,2024-01-01
380,II,,1989-09-26,,2024-01-01
381,II,,1989-09-26,,2024-01-01
382,II,,1989-09-26,,2024-01-01
383,II,,1990-01-31,,2024-01-01
384,II,,1990-01-31,,2024-01-01
385,II,,1990-01-31,,2024-01-01
386,II,,1990-02-12,,2024-01-01
387,II,,1992-08-11,,2024-01-01
388,II,,1993-03-30,,2024-01-01
389,II,,1993-03-31,,2024-01-01
390,II,,1993-05-26,,2024-01-01
391,II,,1993-08-02,,2024-01-01
392,II,,1993-08-02,,2024-01-01
393,II,,1993-08-02,,2024-01-01
394,II,,1993-08-02,,2024-01-01
395,II,,1993-08-24,,2024-01-01
396,II,,1993-12-06,,2024-01-01
397,II,,1993-12-06,,2024-01-01
398,II,,1993-12-06,,2024-01-01
399,II,,1995-05-15,,2024-01-01
400,II,,1995-07-17,,2024-01-01
401,II,,1995-09-28,,2024-01-01
402,II,,1995-10-31,,2024-01-01
403,II,,1996-01-29,,2024-01-01
404,II,,1996-01-29,,2024-01-01
405,II,,1996-01-29,,2024-01-01
406,II,,1996-01-29,,2024-01-01
407,II,,1996-01-29,,2024-01-01
408,II,,1996-01-29,,2024-01-01
409,II,,1996-01-29,,2024-01-01
410,II,,1996-11-23,,2024-01-01
411,II,,1996-11-28,,2024-01-01
412,II,,1996-11-28,,2024-01-01
413,II,,1996-11-28,,2024-01-01
414,II,,1996-11-28,,2024-01-01
415,II,,1996-11-28,,2024-01-01
416,II,,1996-11-28,,2024-01-01
417,II,,1996-11-28,,2024-01-01
418,II,,1996-11-28,,2024-01-01
419,II,,1996-11-28,,2024-01-01
420,II,,1996-11-28,,2024-01-01
421,II,,1996-11-28,,2024-01-01
422,II,,1996-11-28,,2024-01-01
423,II,,1996-11-28,,2024-01-01
424,II,,1996-11-28,,2024-01-01
425,II,,1996-11-28,,2024-01-01
426,II,,1996-11-28,,2024-01-01
427,II,,1996-11-28,,2024-01-01
428,II,,1996-11-28,,2024-01-01
429,II,,1996-11-28,,2024-01-01
430,II,,1996-11-28,,2024-01-01
431,II,,1996-11-28,,2024-01-01
432,II,,1996-11-28,,2024-01-01
433,II,,1996-11-28,,2024-01-01
434,II,,1996-11-28,,2024-01-01
435,II,,1996-11-28,,2024-01-01
436,II,,1996-11-28,,2024-01-01
437,II,,1996-11-28,,2024-01-01
438,II,,1996-11-28,,2024-01-01
439,II,,1996-11-28,,2024-01-01
440,II,,1996-11-28,,2024-01-01
441,II,,1996-11-28,,2024-01-01
442,II,,1996-11-28,,2024-01-01
443,II,,1996-11-28,,2024-01-01
444,II,,1996-11-28,,2024-01-01
445,II,,1996-11-28,,2024-01-01
446,II,,1996-11-28,,2024-01-01
447,II,,1996-11-28,,2024-01-01
448,II,,1996-11-28,,2024-01-01
449,II,,1996-11-28,,2024-01-01
450,II,,1996-11-28,,2024-01-01
451,II,,1996-11-28,,2024-01-01
452,II,,1996-11-28,,2024-01-01
453,II,,1996-11-28,,2024-01-01
454,II,,1996-11-28,,2024-01-01
455,II,,1996-11-28,,2024-01-01
456,II,,1996-11-28,,2024-01-01
457,II,,1996-11-28,,2024-01-01
458,II,,1996-11-28,,2024-01-01
459,II,,1996-11-28,,2024-01-01
460,II,,1996-11-28,,2024-01-01
461,II,,1996-11-28,,2024-01-01
462,II,,1996-11-28,,2024-01-01
463,II,,1996-11-28,,2024-01-01
464,II,,1996-11-28,,2024-01-01
465,II,,1996-11-28,,2024-01-01
466,II,,1996-11-28,,2024-01-01
467,II,,1996-11-28,,2024-01-01
468,II,,1996-11-28,,2024-01-01
469,II,,1996-11-28,,2024-01-01
470,II,,1996-11-28,,2024-01-01
471,II,,1996-11-28,,2024-01-01
472,II,,1996-11-28,,2024-01-01
473,II,,1996-11-28,,2024-01-01
474,II,,1996-11-28,,2024-01-01
475,II,,1996-11-28,,2024-01-01
476,II,,1996-11-28,,2024-01-01
477,II,,1996-11-28,,2024-01-01
478,II,,1996-11-28,,2024-01-01
479,II,,1996-11-28,,2024-01-01
480,II,,1996-11-28,,2024-01-01
481,II,,1996-11-28,,2024-01-01
482,II,,1996-11-28,,2024-01-01
483,II,,1996-11-28,,2024-01-01
484,II,,1996-11-28,,2024-01-01
485,II,,1996-11-28,,2024-01-01
486,II,,1996-11-28,,2024-01-01
487,II,,1996-11-28,,2024-01-01
488,II,,1996-11-28,,2024-01-01
489,II,,1996-11-28,,2024-01-01
490,II,,1996-11-28,,2024-01-01
491,II,,1996-11-28,,2024-01-01
492,II,,1996-11-28,,2024-01-01
493,II,,1996-11-28,,2024-01-01
494,II,,1996-11-28,,2024-01-01
495,II,,1996-11-28,,2024-01-01
496,II,,1996-11-28,,2024-01-01
497,II,,1996-11-28,,2024-01-01
498,II,,1996-11-28,,2024-01-01
499,II,,1996-11-28,,2024-01-01
500,II,,1996-11-28,,2024-01-01
501,II,,1996-11-28,,2024-01-01
502,II,,1996-11-28,,2024-01-01
503,II,,1996-11-28,,2024-01-01
504,II,,1996-11-28,,2024-01-01
505,II,,1996-11-28,,2024-01-01
506,II,,1996-11-28,,2024-01-01
507,II,,1996-11-28,,2024-01-01
508,II,,1996-11-28,,2024-01-01
509,II,,1996-11-28,,2024-01-01
510,II,,1996-11-28,,2024-01-01
511,II,,1996-11-28,,2024-01-01
512,II,,1996-11-28,,2024-01-01
513,II,,1996-11-28,,2024-01-01
514,II,,1996-11-28,,2024-01-01
515,II,,1996-11-28,,2024-01-01
516,II,,1996-11-28,,2024-01-01
517,II,,1996-11-28,,2024-01-01
518,II,,1996-11-28,,2024-01-01
519,II,,1996-11-28,,2024-01-01
520,II,,1996-11-28,,2024-01-01
521,II,,1996-11-28,,2024-01-01
522,II,,1996-11-28,,2024-01-01
523,II,,1996-11-28,,2024-01-01
524,II,,1996-11-28,,2024-01-01
525,II,,1996-11-28,,2024-01-01
526,II,,1996-11-28,,2024-01-01
527,II,,1996-11-28,,2024-01-01
528,II,,1996-11-28,,2024-01-01
529,II,,1996-11-28,,2024-01-01
530,II,,1996-11-28,,2024-01-01
531,II,,1996-11-28,,2024-01-01
532,II,,1996-11-28,,2024-01-01
533,II,,1996-11-28,,2024-01-01
534,II,,1996-11-28,,2024-01-01
535,II,,1996-11-28,,2024-01-01
536,II,,1996-11-28,,2024-01-01
537,II,,1996-11-28,,2024-01-01
538,II,,1996-11-28,,2024-01-01
539,II,,1996-11-28,,2024-01-01
540,II,,1996-11-28,,2024-01-01
541,II,,1996-11-28,,2024-01-01
542,II,,1996-11-28,,2024-01-01
543,II,,1996-11-28,,2024-01-01
544,II,,1996-11-28,,2024-01-01
545,II,,1996-12-23,,2024-01-01
546,II,,1996-12-23,,2024-01-01
547,II,,1996-12-23,,2024-01-01
548,II,,1996-12-23,,2024-01-01
549,II,,1996-12-23,,2024-01-01
550,II,,1997-01-06,,2024-01-01
551,II,,1997-01-06,,2024-01-01
552,II,,1997-01-06,,2024-01-01
553,II,,1997-01-06,,2024-01-01
554,II,,1997-01-06,,2024-01-01
555,II,,1997-01-06,,2024-01-01
556,II,,1997-01-07,,2024-01-01
557,II,,1997-01-07,,2024-01-01
558,II,,1997-01-08,,2024-01-01
559,II,,1997-01-08,,2024-01-01
560,II,,1997-01-08,,2024-01-01
561,II,,1997-01-08,,2024-01-01
562,II,,1997-01-08,,2024-01-01
563,II,,1997-01-08,,2024-01-01
564,II,,1997-06-26,,2024-01-01
565,II,,1997-09-25,,2024-01-01
566,II,,1997-11-12,,2024-01-01
567,II,,1997-11-20,,2024-01-01
568,II,,1998-01-07,,2024-01-01
569,II,,1998-07-01,,2024-01-01
570,II,,1998-07-10,,2024-01-01
571,II,,1998-07-10,,2024-01-01
572,II,,1998-07-10,,2024-01-01
573,II,,1998-07-10,,2024-01-01
574,II,,1998-07-10,,2024-01-01
575,II,,1998-07-10,,2024-01-01
576,II,,1998-07-10,,2024-01-01
577,II,,1998-07-10,,2024-01-01
578,II,,1998-07-10,,2024-01-01
579,II,,1998-07-30,,2024-01-01
580,II,,1998-08-04,,2024-01-01
581,II,,1999-01-28,,2024-01-01
582,II,,1999-02-01,,2024-01-01
583,II,,1999-04-26,,2024-01-01
584,II,,1999-07-20,,2024-01-01
585,II,,1999-07-20,,2024-01-01
586,II,,1999-07-20,,2024-01-01
587,II,,1999-07-20,,2024-01-01
588,II,,1999-07-20,,2024-01-01
589,II,,1999-07-20,,2024-01-01
590,II,,1999-07-20,,2024-01-01
591,II,,1999-07-20,,2024-01-01
592,II,,1999-07-26,,2024-01-01
593,II,,1999-12-23,,2024-01-01
594,II,,1999-12-23,,2024-01-01
595,II,,2000-01-10,,2024-01-01
596,II,,2000-03-23,,2024-01-01
597,II,,2000-03-24,,2024-01-01
598,II,,2000-08-16,,2024-01-01
599,II,,2000-09-01,,2024-01-01
600,II,,2000-10-05,,2024-01-01
601,II,,2001-03-30,,2024-01-01
602,II,,2001-05-24,,2024-01-01
603,II,,2001-10-26,,2024-01-01
604,II,,2001-11-20,,2024-01-01
605,II,,2002-03-19,,2024-01-01
606,II,,2002-04-03,,2024-01-01
607,II,,2002-04-03,,2024-01-01
608,II,,2002-05-07,,2024-01-01
609,II,,2002-07-02,,2024-01-01
610,II,,2002-07-09,,2024-01-01
611,II,,2002-07-09,,2024-01-01
612,II,,2002-09-07,,2024-01-01
613,II,,2002-09-24,,2024-01-01
614,II,,2002-12-02,,2024-01-01
615,II,,2003-02-25,,2024-01-01
616,II,,2003-02-25,,2024-01-01
617,II,,2003-03-27,,2024-01-01
618,II,,2003-04-29,,2024-01-01
619,II,,2003-05-29,,2024-01-01
620,II,,2003-08-18,,2024-01-01
621,II,,2004-04-28,,2024-01-01
622,II,,2004-04-28,,2024-01-01
623,II,,2004-04-28,,2024-01-01
624,II,,2004-07-23,,2024-01-01
625,II,,2004-09-16,,2024-01-01
626,II,,2005-03-10,,2024-01-01
627,II,,2006-09-13,,2024-01-01
628,II,,2007-05-25,,2024-01-01
629,II,,2010-03-19,,2024-01-01
630,II,,2010-05-21,,2024-01-01
631,II,,2011-01-10,,2024-01-01
632,II,,2011-07-20,,2024-01-01
633,II,,2011-07-20,,2024-01-01
634,II,,2013-07-15,,2024-01-01
635,II,,2013-10-11,,2024-01-01
636,II,,2014-01-15,,2024-01-01
637,II,,2014-01-17,,2024-01-01
638,II,,2016-03-04,,2024-01-01
639,II,,2016-03-22,,2024-01-01
640,II,,2016-10-18,,2024-01-01
641,II,,2017-04-20,,2024-01-01
642,II,,2017-04-20,,2024-01-01
643,II,,2017-04-20,,2024-01-01
644,II,,2017-06-27,,2024-01-01
645,II,,2019-04-12,,2024-01-01
646,II,,2019-04-12,,2024-01-01
647,II,,2020-03-26,,2024-01-01
648,II,,2020-12-11,,2024-01-01
649,II,,2020-12-11,,2024-01-01
