feature-id,listed-building-grade,notes,start-date,end-date,entry-date
1,II,,1949-02-24,,2024-01-01
2,II,,1949-02-24,,2024-01-01
3,II*,,1949-02-24,,2024-01-01
4,II,,1949-07-18,,2024-01-01
5,II,,1949-07-18,,2024-01-01
6,II,,1949-07-18,,2024-01-01
7,II,,1949-07-18,,2024-01-01
8,II,,1949-07-18,,2024-01-01
9,II,,1949-07-18,,2024-01-01
10,II*,,1949-07-18,,2024-01-01
11,II,,1949-07-18,,2024-01-01
12,II*,,1949-07-18,,2024-01-01
13,II,,1949-07-18,,2024-01-01
14,II,,1949-07-18,,2024-01-01
15,II*,,1949-07-18,,2024-01-01
16,II*,,1949-07-18,,2024-01-01
17,II,,1949-07-18,,2024-01-01
18,II,,1949-07-18,,2024-01-01
19,II*,,1949-07-18,,2024-01-01
20,II,,1949-07-18,,2024-01-01
21,II*,,1949-07-18,,2024-01-01
22,II,,1949-07-18,,2024-01-01
23,II,,1949-07-18,,2024-01-01
24,II,,1949-07-18,,2024-01-01
25,II,,1949-07-18,,2024-01-01
26,II,,1949-07-18,,2024-01-01
27,II,,1949-10-18,,2024-01-01
28,II*,,1949-10-18,,2024-01-01
29,II*,,1949-10-18,,2024-01-01
30,II,,1949-10-18,,2024-01-01
31,II,,1949-12-01,,2024-01-01
32,II,,1950-02-01,,2024-01-01
33,II,,1950-02-01,,2024-01-01
34,II,,1950-02-01,,2024-01-01
35,II,,1950-02-01,,2024-01-01
36,II,,1950-02-01,,2024-01-01
37,II,,1950-02-01,,2024-01-01
38,II,,1950-02-01,,2024-01-01
39,II,,1950-02-01,,2024-01-01
40,II*,,1950-02-01,,2024-01-01
41,II,,1950-02-01,,2024-01-01
42,II*,,1950-02-01,,2024-01-01
43,II,,1950-02-03,,2024-01-01
44,II,,1950-02-03,,2024-01-01
45,II*,,1950-02-03,,2024-01-01
46,II,,1950-02-03,,2024-01-01
47,II,,1950-02-03,,2024-01-01
48,II,,1950-02-03,,2024-01-01
49,II,,1950-02-03,,2024-01-01
50,II,,1950-02-03,,2024-01-01
51,II*,,1950-02-03,,2024-01-01
52,II,,1950-02-03,,2024-01-01
53,II,,1950-02-03,,2024-01-01
54,II,,1950-02-03,,2024-01-01
55,II,,1950-02-03,,2024-01-01
56,II,,1950-02-03,,2024-01-01
57,II*,,1950-02-03,,2024-01-01
58,II,,1950-02-03,,2024-01-01
59,II,,1950-02-03,,2024-01-01
60,II,,1957-09-26,,2024-01-01
61,II,,1957-09-26,,2024-01-01
62,II,,1957-09-26,,2024-01-01
63,II,,1957-09-26,,2024-01-01
64,II,,1957-09-26,,2024-01-01
65,II,,1957-09-26,,2024-01-01
66,II,,1957-09-26,,2024-01-01
67,II,,1957-09-26,,2024-01-01
68,II,,1957-09-26,,2024-01-01
69,II,,1957-11-20,,2024-01-01
70,II,,1963-03-29,,2024-01-01
71,II*,,1963-03-29,,2024-01-01
72,II*,,1963-03-29,,2024-01-01
73,II,,1965-03-18,,2024-01-01
74,II,,1965-03-18,,2024-01-01
75,II,,1965-03-18,,2024-01-01
76,II*,,1965-03-18,,2024-01-01
77,II*,,1965-03-18,,2024-01-01
78,II*,,1965-03-18,,2024-01-01
79,II,,1965-03-18,,2024-01-01
80,II,,1965-03-18,,2024-01-01
81,II,,1965-03-18,,2024-01-01
82,II,,1965-03-18,,2024-01-01
83,II,,1965-03-18,,2024-01-01
84,II,,1965-03-18,,2024-01-01
85,II,,1965-03-18,,2024-01-01
86,II*,,1965-03-18,,2024-01-01
87,II,,1965-03-18,,2024-01-01
88,II,,1965-03-18,,2024-01-01
89,II,,1965-03-18,,2024-01-01
90,II,,1965-03-18,,2024-01-01
91,II,,1965-03-18,,2024-01-01
92,II,,1965-03-18,,2024-01-01
93,II,,1965-03-18,,2024-01-01
94,II,,1965-03-18,,2024-01-01
95,II,,1965-03-18,,2024-01-01
96,II,,1965-03-18,,2024-01-01
97,II,,1965-03-18,,2024-01-01
98,II*,,1965-03-18,,2024-01-01
99,II*,,1965-03-18,,2024-01-01
100,II,,1965-03-18,,2024-01-01
101,II,,1965-03-18,,2024-01-01
102,II,,1965-03-18,,2024-01-01
103,II,,1965-03-18,,2024-01-01
104,I,,1965-03-18,,2024-01-01
105,II,,1965-03-18,,2024-01-01
106,II,,1965-03-18,,2024-01-01
107,II,,1965-03-18,,2024-01-01
108,II,,1965-03-18,,2024-01-01
109,II,,1965-03-18,,2024-01-01
110,II,,1965-03-18,,2024-01-01
111,II*,,1965-03-18,,2024-01-01
112,II,,1965-03-18,,2024-01-01
113,II*,,1965-03-18,,2024-01-01
114,II*,,1965-03-18,,2024-01-01
115,II,,1965-03-18,,2024-01-01
116,II*,,1965-03-18,,2024-01-01
117,II,,1965-03-18,,2024-01-01
118,II,,1965-03-18,,2024-01-01
119,II,,1965-03-18,,2024-01-01
120,II,,1965-03-18,,2024-01-01
121,II,,1965-03-18,,2024-01-01
122,II*,,1965-03-18,,2024-01-01
123,II,,1965-03-18,,2024-01-01
124,II,,1965-03-18,,2024-01-01
125,II*,,1965-03-18,,2024-01-01
126,II,,1965-03-18,,2024-01-01
127,II,,1965-03-18,,2024-01-01
128,II,,1965-03-18,,2024-01-01
129,II,,1965-03-18,,2024-01-01
130,II,,1965-03-18,,2024-01-01
131,II*,,1965-03-18,,2024-01-01
132,II*,,1965-03-18,,2024-01-01
133,II,,1965-03-18,,2024-01-01
134,II,,1965-03-18,,2024-01-01
135,II,,1965-04-30,,2024-01-01
