reference,name,description,document-url,documentation-url,notes,start-date,end-date,entry-date
A4BV,Brandy Vaults,The exterior of the building can not be painted for any purpose other than for advertisements.,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,Covers historic locally listed public house Brandy Vaults (now Tilley's Bar),1991-07-18,,2023-01-30
A4DC,Dukes Cottages,No enlargements or alterations shall not be carried out upon Dukes Cottages unless permission is granted on an application made to the Council in that behalf.,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,Dukes Cottages,1983-09-14,,2023-01-30
A4HMO1,Jesmond and Heaton,"In certain areas of Newcastle, planning permission is required for to turn a house into a HMO (a house in multiple occupation).",https://www.newcastle.gov.uk/sites/default/files/2019-01/article41direction_3.pdf,https://www.newcastle.gov.uk/services/planning-building-and-development/planning-guidance/houses-multiple-occupation-hmos,"Jesmond, Heaton... etc",2011-11-25,,2023-01-30
A4HMO2,HW Jesmond & N Jesmond,"In certain areas of Newcastle, planning permission is required for to turn a house into a HMO (a house in multiple occupation).",https://www.newcastle.gov.uk/sites/default/files/2019-01/article_4_seal_high_west_jesmond_dec11.pdf,https://www.newcastle.gov.uk/services/planning-building-and-development/planning-guidance/houses-multiple-occupation-hmos,HW Jesmond & N Jesmond,2012-12-09,,2023-01-30
A4HMO3,"Saint Gabriel's Estate, Heaton","In certain areas of Newcastle, planning permission is required for to turn a house into a HMO (a house in multiple occupation).",https://www.newcastle.gov.uk/sites/default/files/2019-01/st_gabriels_confirmation_sealed_notice.pdf,https://www.newcastle.gov.uk/services/planning-building-and-development/planning-guidance/houses-multiple-occupation-hmos,"Saint Gabriel's' Estate, Heaton",2012-08-09,,2023-01-30
A4NG,Northumberland Gardens,A number of changes to properties within this area are restricted in order to protect the character of the Northumberland Gardens Conservation Area.,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,Northumberland Gardens,1997-03-19,,2023-01-30
A4SH,Summerhill,A number of changes to properties within this area are restricted in order to protect the character of the Summerhill Conservation Area.,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,Summerhill,1990-12-19,,2023-01-30
A4SPB,Saint Peter's Basin,Enlargements and alterations of properties in St Peter's Basin are restricted in order to protect the area.,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/article-4-list,Saint Peter's Basin,1996-07-13,,2023-01-30
